study_name,questionnaire_name,answer_list,value,label_de,label,answer_list_name
soep-is,soep-is-2011,q143,3,3,3,q143
soep-is,soep-is-2011,q143,4,4,4,q143
soep-is,soep-is-2011,q143,5,5,5,q143
soep-is,soep-is-2011,q143,6,6,6,q143
soep-is,soep-is-2011,q143,7,7,7,q143
soep-is,soep-is-2011,q143,8,8,8,q143
soep-is,soep-is-2011,q143,9,9,9,q143
soep-is,soep-is-2011,q143,10,10,10,q143
soep-is,soep-is-2011,q143,11,11,11,q143
soep-is,soep-is-2011,q144,1,1 überhaupt nicht,1= Not at all,q144
soep-is,soep-is-2011,q144,2,2,2,q144
soep-is,soep-is-2011,q144,3,3,3,q144
soep-is,soep-is-2011,q144,4,4,4,q144
soep-is,soep-is-2011,q144,5,5,5,q144
soep-is,soep-is-2011,q144,6,6,6,q144
soep-is,soep-is-2011,q144,7,7 Voll und ganz,7= Fully,q144
soep-is,soep-is-2011,q144,-1,Keine Angabe,No answer,q144
soep-is,soep-is-2011,q145,1,1 Ausgeschlossen,1= Excluded,q145
soep-is,soep-is-2011,q145,2,2,2,q145
soep-is,soep-is-2011,q145,3,3,3,q145
soep-is,soep-is-2011,q145,4,4,4,q145
soep-is,soep-is-2011,q145,5,5,5,q145
soep-is,soep-is-2011,q145,6,6,6,q145
soep-is,soep-is-2011,q145,7,7 Ganz sicher,7= Absolutely sure,q145
soep-is,soep-is-2011,q145,8,Abschluß schon erworben,Already acquired degree,q145
soep-is,soep-is-2011,q145,-1,Keine Angabe,No answer,q145
soep-is,soep-is-2011,q14501,0,0 Trifft überhaupt nicht zu,0 Does not apply at all,q14501
soep-is,soep-is-2011,q14501,1,1,1,q14501
soep-is,soep-is-2011,q14501,2,2,2,q14501
soep-is,soep-is-2011,q14501,3,3,3,q14501
soep-is,soep-is-2011,q14501,4,4,4,q14501
soep-is,soep-is-2011,q14501,5,5 Trifft voll und ganz zu,5 Fully applies,q14501
soep-is,soep-is-2011,q14501,-1,Keine Angabe,No answer,q14501
soep-is,soep-is-2011,q147b,1,Ja,Yes,q147b
soep-is,soep-is-2011,q147b,2,Nein,No,q147b
soep-is,soep-is-2011,q147b,-1,Keine Angabe,No answer,q147b
soep-is,soep-is-2011,q147d,1,Ja,Yes,q147d
soep-is,soep-is-2011,q147d,2,Nein,No,q147d
soep-is,soep-is-2011,q147d,-1,Keine Angabe,No answer,q147d
soep-is,soep-is-2011,q148,1,Ja,Yes,q148
soep-is,soep-is-2011,q148,2,Nein,No,q148
soep-is,soep-is-2011,q148,-1,Keine Angabe,No answer,q148
soep-is,soep-is-2011,q149,1,"Ja, Mutterschutz","Yes, maternity leave",q149
soep-is,soep-is-2011,q149,2,"Ja, Elternzeit","Yes, parental leave",q149
soep-is,soep-is-2011,q149,3,Nein,No,q149
soep-is,soep-is-2011,q149,-1,Keine Angabe,No answer,q149
soep-is,soep-is-2011,q15,1,Ein reines Wohngebiet mit überwiegend Altbauten,A residential area with mostly old houses,q15
soep-is,soep-is-2011,q15,2,Ein reines Wohngebiet mit überwiegend Neubauten,A residential area with mostly newer houses,q15
soep-is,soep-is-2011,q15,3,Ein Mischgebiet mit Wohnungen und Geschäften bzw. Gewerbebetrieben,"A residential and commercial area with flats, houses, shops and businesses",q15
soep-is,soep-is-2011,q15,4,"Ein Geschäftszentrum (Läden, Banken, Verwaltungen) mit wenigen Wohnungen","A commercial area (shops, banks, offices) with few flats",q15
soep-is,soep-is-2011,q15,5,Ein Gewerbe- bzw. Industriegebiet mit wenigen Wohnungen,An industrial area with few flats,q15
soep-is,soep-is-2011,q15,9,Keine Angabe,No answer,q15
soep-is,soep-is-2011,q150,1,Ja,Yes,q150
soep-is,soep-is-2011,q150,2,"Nein, noch keinen Abschluss, gehe noch zur Schule","No, I haven't graduated yet, I'm still in school",q150
soep-is,soep-is-2011,q150,3,"Nein, Schule ohne Abschluss verlassen","No, left school without graduation",q150
soep-is,soep-is-2011,q150,-2,Keine Angabe,No answer,q150
soep-is,soep-is-2011,q151,1,In einem Bundesland der Bundesrepublik Deutschland?,In a federal state of the Federal Republic of Germany?,q151
soep-is,soep-is-2011,q151,2,In der DDR?,In GDR?,q151
soep-is,soep-is-2011,q151,3,In einem anderen Land?,In another country,q151
soep-is,soep-is-2011,q151,-1,Keine Angabe,No answer,q151
soep-is,soep-is-2011,q152,2,Volksschul-/ Hauptschulabschluss,"Secondary general school leaving certificate (""Hauptschulabschluss"")",q152
soep-is,soep-is-2011,q152,3,Mittlere Reife / Realschulabschluss,"Intermediate school leaving certificate (""Mittlere Reife"", ""Realschulabschluss"")",q152
soep-is,soep-is-2011,q152,4,Fachhochschulreife (Abschluss Fachoberschule),"Leaving certificate from a Fachoberschule (""Fachhochschulreife"" - qualification for studies at a Fachhochschule)",q152
soep-is,soep-is-2011,q152,5,Abitur (Hochschulreife),"Upper secondary leaving certificate (""Abitur"")",q152
soep-is,soep-is-2011,q152,6,Anderer Schulabschluss,Other school leaving certificate (please state),q152
soep-is,soep-is-2011,q152,-1,Keine Angabe,No answer,q152
soep-is,soep-is-2011,q153,1,Abschluss 8. Klasse,Secondary School Degree,q153
soep-is,soep-is-2011,q153,2,Abschluss 10. Klasse,Intermediate School Degree,q153
soep-is,soep-is-2011,q153,3,Abitur (Hochschulreife),Upper Secondary School Degree,q153
soep-is,soep-is-2011,q153,4,Anderer Schulabschluss,Other Degree,q153
soep-is,soep-is-2011,q153,-1,Keine Angabe,No answer,q153
soep-is,soep-is-2011,q155,1,Abschluss einer Pflichtschule,"School, with degree",q155
soep-is,soep-is-2011,q155,2,Abschluss einer weiterführenden Schule,Vocational Extension School,q155
soep-is,soep-is-2011,q155,-1,Keine Angabe,No answer,q155
soep-is,soep-is-2011,q156,1,Ja,Yes,q156
soep-is,soep-is-2011,q156,2,Nein,No,q156
soep-is,soep-is-2011,q156,-1,Keine Angabe,No answer,q156
soep-is,soep-is-2011,q159,1,Ja,Yes,q159
soep-is,soep-is-2011,q159,2,Nein,No,q159
soep-is,soep-is-2011,q159,-2,Keine Angabe,No answer,q159
soep-is,soep-is-2011,q15903,1,Hauptschule,Lower secondary school (Hauptschule),q15903
soep-is,soep-is-2011,q15903,2,Realschule,Intermediate secondary school (Realschule),q15903
soep-is,soep-is-2011,q15903,3,Gymnasium,Upper secondary school (Gymnasium),q15903
soep-is,soep-is-2011,q15903,4,Gesamtschule,Comprehensive school (Gesamtschule),q15903
soep-is,soep-is-2011,q15903,5,"Abendrealschule, Abendgymnasium",Evening intermediate / upper secondary school (Abendrealschule / Abendgymnasium),q15903
soep-is,soep-is-2011,q15903,6,Fachoberschule,Specialized upper secondary school (Fachoberschule),q15903
soep-is,soep-is-2011,q15903,9,Keine Angabe,No answer,q15903
soep-is,soep-is-2011,q16,1,In gutem Zustand,In good condition,q16
soep-is,soep-is-2011,q16,2,Teilweise renovierungsbedürftig,In need of partial renovation,q16
soep-is,soep-is-2011,q16,3,Ganz renovierungsbedürftig,In need of complete renovation,q16
soep-is,soep-is-2011,q16,4,Abbruchreif,Near collapse,q16
soep-is,soep-is-2011,q16,9,Keine Angabe,No answer,q16
soep-is,soep-is-2011,q160,1,Allgemeinbildende Schule,General education / secondary school,q160
soep-is,soep-is-2011,q160,2,Berufliche Ausbildung,Vocational training,q160
soep-is,soep-is-2011,q160,3,"Hochschule, Fachhochschule",Higher education,q160
soep-is,soep-is-2011,q160,4,"Weiterbildung, Umschulung","Further training, Retraining",q160
soep-is,soep-is-2011,q160,-2,Keine Angabe,No answer,q160
soep-is,soep-is-2011,q160c,1,Ja,Yes,q160c
soep-is,soep-is-2011,q160c,2,Nein,No,q160c
soep-is,soep-is-2011,q160c,-2,Keine Angabe,No answer,q160c
soep-is,soep-is-2011,q160f_1,1,"Trifft nicht zu, war nur als Selbständiger tätig","Does not apply, I have only been self-employed",q160f_1
soep-is,soep-is-2011,q160f_1,2,"Trifft nicht zu, war überhaupt nicht erwerbstätig","Does not apply, I have not been employed at all",q160f_1
soep-is,soep-is-2011,q161,1,Voll erwerbstätig,Employed full-time,q161
soep-is,soep-is-2011,q161,2,In Teilzeitbeschäftigung,Employed part-time,q161
soep-is,soep-is-2011,q161,3,"In betrieblicher Ausbildung, Lehre oder betrieblicher Umschulung",Completing in-service training (betriebliche Ausbildung) / apprenticeship (Lehre) / in-service retraining (betriebliche Umschulung),q161
soep-is,soep-is-2011,q161,4,Geringfügig oder unregelmäßig erwerbstätig,In marginal (geringfügig) or irregular employment (unregelmäßig erwerbstätig),q161
soep-is,soep-is-2011,q161,5,In Altersteilzeit mit Arbeitszeit Null,"In partial retirement, phase with zero working hours (Altersteilzeit mit Arbeitszeit Null)",q161
soep-is,soep-is-2011,q161,6,Als Wehrpflichtiger beim Wehrdienst,Completing compulsory military service (Wehrpflicht),q161
soep-is,soep-is-2011,q161,7,Zivildienstleistender oder Freiwilliges soziales Jahr,Completing community service as a substitute for compulsory military service (Zivildienst) or as a voluntary social year (freiwilliges soziales Year),q161
soep-is,soep-is-2011,q161,8,Bundesfreiwilligendienst,In the federal volunteer service (Bundesfreiwilligendienst),q161
soep-is,soep-is-2011,q161,9,Nicht erwerbstätig,Not employed,q161
soep-is,soep-is-2011,q161,-2,Keine Angabe,No answer,q161
soep-is,soep-is-2011,q162,1,Ja,Yes,q162
soep-is,soep-is-2011,q162,2,Nein,No,q162
soep-is,soep-is-2011,q162,-2,Keine Angabe,No answer,q162
soep-is,soep-is-2011,q163,1,"Ja, ABM-Stelle","Yes, a job-creation measure (ABM)",q163
soep-is,soep-is-2011,q163,2,"Ja, gemeinnützige Arbeit (1-Euro-Job)","Yes, a „1-Euro Job“ (community work)",q163
soep-is,soep-is-2011,q163,3,Nein,No,q163
soep-is,soep-is-2011,q163,-2,Keine Angabe,No answer,q163
soep-is,soep-is-2011,q164,1,"Ja, Mini-Job (bis 400 Euro)","Yes, Mini-Job (up to 400 euros)",q164
soep-is,soep-is-2011,q164,2,"Ja, Midi-Job (401 bis 800 Euro)","Yes, Midi-Job (401 to 800 euros)",q164
soep-is,soep-is-2011,q164,3,Nein,No,q164
soep-is,soep-is-2011,q164,-2,Keine Angabe,No answer,q164
soep-is,soep-is-2011,q165,1,Arbeiter (auch in der Landwirtschaft),"Blue-collar worker (Arbeiter), including those working in agriculture",q165
soep-is,soep-is-2011,q165,2,Selbständiger (einschl. mithelfender Familienangehörige),Self-employed (also: Working for a self-employed relative),q165
soep-is,soep-is-2011,q165,3,Auszubildende / Praktikanten,Apprentice / trainee / intern,q165
soep-is,soep-is-2011,q165,4,Angestellte,White-collar worker (Angestellte),q165
soep-is,soep-is-2011,q165,5,Beamte / Staatsverwaltung (einschließlich Richter und Berufssoldaten),"Civil servant, including judges and professional soldiers",q165
soep-is,soep-is-2011,q165,9,Keine Angabe,No answer,q165
soep-is,soep-is-2011,q165a2,1,Ungelernte Arbeiter,Unskilled worker (ungelernt),q165a2
soep-is,soep-is-2011,q165a2,2,Angelernte Arbeiter,Semi-skilled worker (angelernt),q165a2
soep-is,soep-is-2011,q165a2,3,Gelernte und Facharbeiter,Trained worker (gelernter Arbeiter) or skilled worker (Facharbeiter),q165a2
soep-is,soep-is-2011,q165a2,4,"Vorarbeiter, Kolonnenführer",Foreman / forewoman (Vorarbeiter / Kolonnenführer),q165a2
soep-is,soep-is-2011,q165a2,5,"Meister, Polier",Master craftsperson (Meister / Polierer),q165a2
soep-is,soep-is-2011,q165a2,-2,Keine Angabe,No answer,q165a2
soep-is,soep-is-2011,q165b2,1,Selbständige Landwirte,Self-employed farmer,q165b2
soep-is,soep-is-2011,q165b2,2,"Freie Berufe, selbständige Akademiker",Freelance professional / self-employed academic,q165b2
soep-is,soep-is-2011,q165b2,3,Sonstige Selbständige,Other self-employed people,q165b2
soep-is,soep-is-2011,q165b2,4,Mithelfende Familienangehörige,Working for a self-employed relative,q165b2
soep-is,soep-is-2011,q165b2,9,Keine Angabe,No answer,q165b2
soep-is,soep-is-2011,q165c,1,"Voll berufstätig, also mindestens 35 Wochenstunden","Employed full-time, at least 35 hours per week",q165c
soep-is,soep-is-2011,q165c,2,"Teilzeitbeschäftigt, also 20 bis 34 Wochenstunden","Employed part-time, from 20 to 34 hours per week",q165c
soep-is,soep-is-2011,q165c,3,Geringfügig oder unregelmäßig beschäftigt,In marginal or irregular employment,q165c
soep-is,soep-is-2011,q165c,-2,Keine Angabe,No answer,q165c
soep-is,soep-is-2011,q165c2,1,Keine,None,q165c2
soep-is,soep-is-2011,q165c2,2,1 bis 9,1 to 9,q165c2
soep-is,soep-is-2011,q165c2,3,10 und mehr,10 and more,q165c2
soep-is,soep-is-2011,q165c2,9,Keine Angabe,No answer,q165c2
soep-is,soep-is-2011,q165d2,1,Auszubildende,Apprentice,q165d2
soep-is,soep-is-2011,q165d2,2,"Volontäre, Praktikanten u.ä.",Trainee/ interim,q165d2
soep-is,soep-is-2011,q165d2,9,Keine Angabe,No answer,q165d2
soep-is,soep-is-2011,q165e2,1,Industrie- und Werkmeister im Angestelltenverhältnis,"Industry or factory foreman / forewoman (Industriemeister, Werkmeister) in a salaried position",q165e2
soep-is,soep-is-2011,q165e2,2,Angestellter mit einfacher Tätigkeit ohne Ausbildungsabschluss,Salaried employee engaged in unskilled activities (Angestellter mit einfacher Tätigkeit) without completed training/education,q165e2
