study,questionnaire,answer_list,value,label_de,label
soep-is,soep-is-2011,109+41,1,Stark,A lot
soep-is,soep-is-2011,109+41,2,Ein wenig,A little
soep-is,soep-is-2011,109+41,3,Gar nicht,Not at all
soep-is,soep-is-2011,109+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,11+,1,Ein reines Wohngebiet mit überwiegend Altbauten,A residential area with mostly old houses
soep-is,soep-is-2011,11+,2,Ein reines Wohngebiet mit überwiegend Neubauten,A residential area with mostly newer houses
soep-is,soep-is-2011,11+,3,Ein Mischgebiet mit Wohnungen und Geschäften bzw. Gewerbebetrieben,"A residential and commercial area with flats, houses, shops and businesses"
soep-is,soep-is-2011,11+,4,"Ein Geschäftszentrum (Läden, Banken, Verwaltungen) mit wenigen Wohnungen","A commercial area (shops, banks, offices) with few flats"
soep-is,soep-is-2011,11+,5,Ein Gewerbe- bzw. Industriegebiet mit wenigen Wohnungen,An industrial area with few flats
soep-is,soep-is-2011,11+,9,Keine Angabe,No answer
soep-is,soep-is-2011,110+41,1,Oft,Frequently
soep-is,soep-is-2011,110+41,2,Manchmal,Sometimes
soep-is,soep-is-2011,110+41,3,Selten,Rarely
soep-is,soep-is-2011,110+41,4,Nie,Never
soep-is,soep-is-2011,110+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,111+41,1,"Ja, stark eingeschränkt","Yes, severely"
soep-is,soep-is-2011,111+41,2,"Ja, etwas eingeschränkt","Yes, somewhat"
soep-is,soep-is-2011,111+41,3,"Nein, nicht eingeschränkt","No, not at all"
soep-is,soep-is-2011,111+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,112+41,1,In einer gesetzlichen Krankenversicherung,Statutory health insurance
soep-is,soep-is-2011,112+41,2,Ausschließlich privat versichert,Private insurance only
soep-is,soep-is-2011,112+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,113+41,0,0 = Ganz und gar unzufrieden,0 = Completely dissatisfied
soep-is,soep-is-2011,113+41,1,1,1
soep-is,soep-is-2011,113+41,2,2,2
soep-is,soep-is-2011,113+41,3,3,3
soep-is,soep-is-2011,113+41,4,4,4
soep-is,soep-is-2011,113+41,5,5,5
soep-is,soep-is-2011,113+41,6,6,6
soep-is,soep-is-2011,113+41,7,7,7
soep-is,soep-is-2011,113+41,8,8,8
soep-is,soep-is-2011,113+41,9,9,9
soep-is,soep-is-2011,113+41,10,10 = Ganz und gar zufrieden,10 = Completely satisfied
soep-is,soep-is-2011,113+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,12+,1,In gutem Zustand,In good condition
soep-is,soep-is-2011,12+,2,Teilweise renovierungsbedürftig,In need of partial renovation
soep-is,soep-is-2011,12+,3,Ganz renovierungsbedürftig,In need of complete renovation
soep-is,soep-is-2011,12+,4,Abbruchreif,Near collapse
soep-is,soep-is-2011,12+,9,Keine Angabe,No answer
soep-is,soep-is-2011,13+,1,Finanzielle Gründe,Financial reasons
soep-is,soep-is-2011,13+,2,Andere Gründe,Other reasons
soep-is,soep-is-2011,13+,3,Keine Angabe,No answer
soep-is,soep-is-2011,14+,1,Hauptmieter,Main tenant
soep-is,soep-is-2011,14+,2,Untermieter,Subtenant
soep-is,soep-is-2011,14+,3,Eigentümer,Owner
soep-is,soep-is-2011,14+,4,[Heimbewohner],[Home residents]
soep-is,soep-is-2011,15+16,1,"Ja, ganz enthalten","Yes, completely included"
soep-is,soep-is-2011,15+16,2,"Ja, teilweise enthalten","Yes, partially included"
soep-is,soep-is-2011,15+16,3,Nein,No
soep-is,soep-is-2011,15+16,4,Weiß nicht,Don't know
soep-is,soep-is-2011,15+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,17+16,1,unter 250 Euro,Less than 250 euro
soep-is,soep-is-2011,17+16,2,250 bis unter 1.000 Euro,"From 250 to less than 1,000 euros"
soep-is,soep-is-2011,17+16,3,1.000 bis unter 2.500 Euro,"From 1,000 to less than 2,500 euros"
soep-is,soep-is-2011,17+16,4,2.500 bis unter 5.000 Euro,"From 2,500 to less than 5,000 euros"
soep-is,soep-is-2011,17+16,5,5.000 bis unter 10.000 Euro,"From 5,000 to less than 10,000 euros"
soep-is,soep-is-2011,17+16,6,10.000 Euro und mehr,"10,000 euros and more"
soep-is,soep-is-2011,17+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,18+16,1,Niedriger als 1.500 Euro,less than 1.500 euros
soep-is,soep-is-2011,18+16,2,Höher als 1.500 Euro,more than 1.500 euros
soep-is,soep-is-2011,18+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,19+16,1,Niedriger als 750 Euro,less than 750 euros
soep-is,soep-is-2011,19+16,2,Höher als 750 Euro,more than 750 euros
soep-is,soep-is-2011,19+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,2+,1,männlich,Male
soep-is,soep-is-2011,2+,2,weiblich,Female
soep-is,soep-is-2011,20+16,1,Niedriger als 2.500 Euro,less than 2.500 euros
soep-is,soep-is-2011,20+16,2,Höher als 2.500 Euro,more than 2.500 euros
soep-is,soep-is-2011,20+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,21+16,1,Niedriger als 3.500 Euro,less than 3.500 euros
soep-is,soep-is-2011,21+16,2,Höher als 3.500 Euro,more than 3.500 euros
soep-is,soep-is-2011,21+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,22+16,1,Niedriger als 5.000 Euro,less than 5.000 euros
soep-is,soep-is-2011,22+16,2,Höher als 5.000 Euro,more than 5.000 euros
soep-is,soep-is-2011,22+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,23+16,1,Pflegestufe 1,care level 1
soep-is,soep-is-2011,23+16,2,Pflegestufe 2,care level 2
soep-is,soep-is-2011,23+16,3,Pflegestufe 3,care level 3
soep-is,soep-is-2011,23+16,4,Nein,No
soep-is,soep-is-2011,23+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,24+25,0,0,0
soep-is,soep-is-2011,24+25,1,1,1
soep-is,soep-is-2011,24+25,2,2,2
soep-is,soep-is-2011,24+25,3,3,3
soep-is,soep-is-2011,24+25,4,4,4
soep-is,soep-is-2011,24+25,5,5,5
soep-is,soep-is-2011,24+25,6,6,6
soep-is,soep-is-2011,24+25,7,7,7
soep-is,soep-is-2011,24+25,8,8,8
soep-is,soep-is-2011,24+25,9,9,9
soep-is,soep-is-2011,24+25,10,10,10
soep-is,soep-is-2011,24+25,-1,KA,No answer
soep-is,soep-is-2011,24+26,0,0,0
soep-is,soep-is-2011,24+26,1,1,1
soep-is,soep-is-2011,24+26,2,2,2
soep-is,soep-is-2011,24+26,3,3,3
soep-is,soep-is-2011,24+26,4,4,4
soep-is,soep-is-2011,24+26,5,5,5
soep-is,soep-is-2011,24+26,6,6,6
soep-is,soep-is-2011,24+26,7,7,7
soep-is,soep-is-2011,24+26,8,8,8
soep-is,soep-is-2011,24+26,9,9,9
soep-is,soep-is-2011,24+26,10,10,10
soep-is,soep-is-2011,24+26,-9,TNZ,Does not apply
soep-is,soep-is-2011,24+26,-1,KA,No answer
soep-is,soep-is-2011,27+16,1,Sehr selten,Very rarely
soep-is,soep-is-2011,27+16,2,Selten,Rarely
soep-is,soep-is-2011,27+16,3,Manchmal,Occasionally
soep-is,soep-is-2011,27+16,4,Oft,Often
soep-is,soep-is-2011,27+16,5,Sehr oft,Very often
soep-is,soep-is-2011,27+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,28+,0,Gar nicht risikobereit,Risk averse
soep-is,soep-is-2011,28+,1,1,1
soep-is,soep-is-2011,28+,2,2,2
soep-is,soep-is-2011,28+,3,3,3
soep-is,soep-is-2011,28+,4,4,4
soep-is,soep-is-2011,28+,5,5,5
soep-is,soep-is-2011,28+,6,6,6
soep-is,soep-is-2011,28+,7,7,7
soep-is,soep-is-2011,28+,8,8,8
soep-is,soep-is-2011,28+,9,9,9
soep-is,soep-is-2011,28+,10,Sehr risikobereit,Fully prepared to take risks
soep-is,soep-is-2011,29+16,1,Typisch männlich,Typical male
soep-is,soep-is-2011,29+16,2,Eher männlich,Rather male
soep-is,soep-is-2011,29+16,3,Weder noch,Neither nor
soep-is,soep-is-2011,29+16,4,Eher weiblich,Rather female
soep-is,soep-is-2011,29+16,5,Typisch weiblich,Typical female
soep-is,soep-is-2011,29+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,3+,1,"Ja, die Befragungsperson beantwortet die Fragen zum Haushalt","Yes, respondent answers the questions about the household"
soep-is,soep-is-2011,3+,2,"Nein, eine andere Person im Haushalt wird die Fragen zum Haushalt beantworten beziehungsweise hat diese Fragen bereits beantwortet","No, another person in the household will answer the questions about the household, or has already answered these questions"
soep-is,soep-is-2011,30+16,1,1 Sehr unwahrscheinlich,1 Very unlikely
soep-is,soep-is-2011,30+16,2,2,2
soep-is,soep-is-2011,30+16,3,3,3
soep-is,soep-is-2011,30+16,4,4,4
soep-is,soep-is-2011,30+16,5,5,5
soep-is,soep-is-2011,30+16,6,6,6
soep-is,soep-is-2011,30+16,7,7 Sehr wahrscheinlich,7 Very likley
soep-is,soep-is-2011,30+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,31+16,1,Sehr stark,Very much
soep-is,soep-is-2011,31+16,2,Stark,Much
soep-is,soep-is-2011,31+16,3,Nicht so stark,Not so much
soep-is,soep-is-2011,31+16,4,überhaupt nicht,Not at all
soep-is,soep-is-2011,31+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,32+16,1,SPD,SPD
soep-is,soep-is-2011,32+16,2,CDU,CDU
soep-is,soep-is-2011,32+16,3,CSU,CSU
soep-is,soep-is-2011,32+16,4,FDP,FDP
soep-is,soep-is-2011,32+16,5,Bündnis 90/Die Grünen,Bündnis 90/Die Grünen
soep-is,soep-is-2011,32+16,6,Die Linke,Die Linke
soep-is,soep-is-2011,32+16,7,DVU/Republikaner/NPD,DVU/Republikaner/NPD
soep-is,soep-is-2011,32+16,8,Andere,Other
soep-is,soep-is-2011,32+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,33+16,1,Jede Woche,At least once a week
soep-is,soep-is-2011,33+16,2,Jeden Monat,At least once a month
soep-is,soep-is-2011,33+16,3,Seltener,Less often
soep-is,soep-is-2011,33+16,4,Nie,Never
soep-is,soep-is-2011,33+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,34+,1,"Verheiratet, mit Ehepartner zusammenlebend","Married, living with spouse"
soep-is,soep-is-2011,34+,2,Eingetragene gleichgeschlechtliche Partnerschaft zusammenlebend,Registered same-sex partnership
soep-is,soep-is-2011,34+,3,"Verheiratet, dauernd getrennt lebend","Married, living separately from spouse (on a permanent basis)"
soep-is,soep-is-2011,34+,4,Eingetragene gleichgeschlechtliche Partnerschaft getrennt lebend,"Registered same-sex partnership (eingetragene gleichgeschlechtliche Partnerschaft), living separately"
soep-is,soep-is-2011,34+,5,Ledig,Single
soep-is,soep-is-2011,34+,6,Geschieden / eingetragene gleichgeschlechtliche Lebenspartnerschaft aufgehoben,Divorced / registered same-sex partnership (eingetragene gleichgeschlechtliche Partnerschaft) annulled
soep-is,soep-is-2011,34+,7,Verwitwet / Lebenspartner/-in aus eingetragener gleichgeschlechtlicher Lebenspartnerschaft verstorben,Widowed / life partner from registered partnership (eingetragene gleichgeschlechtliche Partnerschaft) deceased
soep-is,soep-is-2011,34+,9,Keine Angabe,No answer
soep-is,soep-is-2011,35+,1,Seit Geburt,Since birth
soep-is,soep-is-2011,35+,2,Erst später erworben,At a later date
soep-is,soep-is-2011,35+,9,Keine Angabe,No answer
soep-is,soep-is-2011,36+,1,Durch Trennung,Separation
soep-is,soep-is-2011,36+,2,Durch Tod,Death
soep-is,soep-is-2011,36+,9,Keine Angabe,No answer
soep-is,soep-is-2011,37+,1,"Ja, eineiig","Yes, my identical twin"
soep-is,soep-is-2011,37+,2,"Ja, eine zweieiige Schwester","Yes, my fraternal sister"
soep-is,soep-is-2011,37+,3,"Ja, ein zweieiiger Bruder","Yes, my fraternal brother"
soep-is,soep-is-2011,37+,4,Nein,No
soep-is,soep-is-2011,37+,9,Keine Angabe,No answer
soep-is,soep-is-2011,38+,1,Ihr Sohn,Son
soep-is,soep-is-2011,38+,2,Ihre Tochter,Daughter
soep-is,soep-is-2011,39+,1,Hier im Haushalt,Here in this household
soep-is,soep-is-2011,39+,2,Hier am Ort,Here in this town
soep-is,soep-is-2011,39+,3,Woanders in Westdeutschland,Elsewhere in West Germany
soep-is,soep-is-2011,39+,4,Woanders in Ostdeutschland,Elsewhere in East Germany
soep-is,soep-is-2011,39+,5,Im Ausland,Abroad
soep-is,soep-is-2011,39+,6,Ist verstorben,Has died
soep-is,soep-is-2011,39+,9,Keine Angabe,No answer
soep-is,soep-is-2011,4+,1,Ja,Yes
soep-is,soep-is-2011,4+,2,Nein,No
soep-is,soep-is-2011,4+,9,Keine Angabe,No answer
soep-is,soep-is-2011,40+41,0,Hier im selben Haushalt,In the same household
soep-is,soep-is-2011,40+41,1,Hier im selben Haus,In the same house
soep-is,soep-is-2011,40+41,2,In der Nachbarschaft,In the same neighborhood
soep-is,soep-is-2011,40+41,3,"Im gleichen Ort, aber mehr als 15 Minuten Fußweg","In the same town, but more than 15 minutes away by foot"
soep-is,soep-is-2011,40+41,4,"In einem anderen Ort, aber innerhalb 1 Stunde erreichbart","In another town, but within a one hour drive"
soep-is,soep-is-2011,40+41,5,Weiter entfernt (aber in Deutschland),Farther away (but in Germany)
soep-is,soep-is-2011,40+41,6,Im Ausland,Abroad
soep-is,soep-is-2011,40+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,410+41,10,10%,10%
soep-is,soep-is-2011,410+41,20,20%,20%
soep-is,soep-is-2011,410+41,30,30%,30%
soep-is,soep-is-2011,410+41,40,40%,40%
soep-is,soep-is-2011,410+41,50,50%,50%
soep-is,soep-is-2011,410+41,60,60%,60%
soep-is,soep-is-2011,410+41,70,70%,70%
soep-is,soep-is-2011,410+41,80,80%,80%
soep-is,soep-is-2011,410+41,90,90%,90%
soep-is,soep-is-2011,410+41,100,100%,100%
soep-is,soep-is-2011,410+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,42+41,1,"In der DDR, einschließlich Ostberlin","In East Germany, including East-berlin"
soep-is,soep-is-2011,42+41,2,"In der Bundesrepublik, einschließlich Westberlin","In West Germany, including West-Berlin"
soep-is,soep-is-2011,42+41,3,In einem anderen Land,In another country
soep-is,soep-is-2011,42+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,43+41,1,Diese hier,This one
soep-is,soep-is-2011,43+41,2,Die andere,The other one
soep-is,soep-is-2011,43+41,3,Beide Wohnungen etwa zu gleichen Teilen,They're approximately equal
soep-is,soep-is-2011,43+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,44+,1,Kind lebt noch im Haushalt,Child still lives in household
soep-is,soep-is-2011,44+,2,Kind lebt nicht mehr im Haushalt,Child does not live in household anymore
soep-is,soep-is-2011,45+,1,m,male
soep-is,soep-is-2011,45+,2,w,female
soep-is,soep-is-2011,46+,1,Januar,January
soep-is,soep-is-2011,46+,2,Februar,February
soep-is,soep-is-2011,46+,3,März,March
soep-is,soep-is-2011,46+,4,April,April
soep-is,soep-is-2011,46+,5,Mai,May
soep-is,soep-is-2011,46+,6,Juni,June
soep-is,soep-is-2011,46+,7,Juli,July
soep-is,soep-is-2011,46+,8,August,August
soep-is,soep-is-2011,46+,9,September,September
soep-is,soep-is-2011,46+,10,Oktober,October
soep-is,soep-is-2011,46+,11,November,November
soep-is,soep-is-2011,46+,12,Dezember,December
soep-is,soep-is-2011,47+41,1,Ja,Yes
soep-is,soep-is-2011,47+41,2,"Nein, eine andere Person beantwortet die Fragen zum Kind beziehungsweise hat die Fragen bereits beantwortet","No, another person will answer the questions about that child or already did"
soep-is,soep-is-2011,47+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,48+16,1,U1,U1
soep-is,soep-is-2011,48+16,2,U2,U2
soep-is,soep-is-2011,48+16,3,U3,U3
soep-is,soep-is-2011,48+16,4,U4,U4
soep-is,soep-is-2011,48+16,5,U5,U5
soep-is,soep-is-2011,48+16,6,U6,U6
soep-is,soep-is-2011,48+16,7,U7,U7
soep-is,soep-is-2011,48+16,8,U8,U8
soep-is,soep-is-2011,48+16,9,U9,U9
soep-is,soep-is-2011,48+16,10,Es wurde keine dieser Untersuchungen durchgeführt,Not undergone any of these examinations
soep-is,soep-is-2011,48+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,49+16,1,"Ja, bei der U-Untersuchung","Yes, in one of the U-screenings"
soep-is,soep-is-2011,49+16,2,"Ja, bei einer anderen Untersuchung","Yes, in another check-up"
soep-is,soep-is-2011,49+16,3,Nein,No
soep-is,soep-is-2011,49+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,5+,1,Landwirtschaftliches Wohngebäude,Farm house
soep-is,soep-is-2011,5+,2,Freistehendes Ein- oder Zweifamilienhaus,Free standing one or two family house
soep-is,soep-is-2011,5+,3,Ein- oder Zweifamilienhaus als Reihenhaus oder Doppelhaus,One or two family house as row or double house
soep-is,soep-is-2011,5+,4,Wohnhaus mit 3 bis 4 Wohnungen,Building with 3 to 4 flats
soep-is,soep-is-2011,5+,5,Wohnhaus mit 5 bis 8 Wohnungen,Building with 5 to 8 flats
soep-is,soep-is-2011,5+,6,"Wohnhaus mit 9 und mehr Wohnungen, aber höchstens 8 Stockwerken, also kein Hochhaus",Building with 9 or more flats (but no more than 8 floors/stories)
soep-is,soep-is-2011,5+,7,Hochhaus mit 9 und mehr Stockwerken,High-rise (9 or more floors/stories)
soep-is,soep-is-2011,5+,9,Keine Angabe,No answer
soep-is,soep-is-2011,50+,1,1 Trifft überhaupt nicht zu,1  Absolutly does not apply
soep-is,soep-is-2011,50+,2,2,2
soep-is,soep-is-2011,50+,3,3,3
soep-is,soep-is-2011,50+,4,4,4
soep-is,soep-is-2011,50+,5,5,5
soep-is,soep-is-2011,50+,6,6,6
soep-is,soep-is-2011,50+,7,7 Trifft voll und ganz zu,7  Fully applies
soep-is,soep-is-2011,51+,1,1,1
soep-is,soep-is-2011,51+,2,2,2
soep-is,soep-is-2011,51+,3,3,3
soep-is,soep-is-2011,51+,4,4,4
soep-is,soep-is-2011,51+,5,5,5
soep-is,soep-is-2011,51+,6,6,6
soep-is,soep-is-2011,51+,7,7,7
soep-is,soep-is-2011,51+,8,8,8
soep-is,soep-is-2011,51+,9,9,9
soep-is,soep-is-2011,51+,10,10,10
soep-is,soep-is-2011,51+,11,11,11
soep-is,soep-is-2011,52+41,0,besucht keine Schule,Does not attend school
soep-is,soep-is-2011,52+41,1,"Grundschule, inkl. Förderstufe",Primary school (including transitional grades/ Förderstufe)
soep-is,soep-is-2011,52+41,2,Hauptschule,Secondary General School (Hauptschule)
soep-is,soep-is-2011,52+41,3,Realschule,Intermediate School (Realschule)
soep-is,soep-is-2011,52+41,4,Gymnasium,Upper Secondary (Gymnasium)
soep-is,soep-is-2011,52+41,5,Gesamtschule,Comprehensive School (Gesamtschule)
soep-is,soep-is-2011,52+41,6,Berufsschule,Vocational School (Berufsschule)
