study,dataset,version,section,sectext,group,grouplabel,variable,waves,years,variabletext,references,contact,only_labeled_vals
soep-is,bio,2015,Variables in File BIO,,,,l0103,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0104,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0105,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0106,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0107,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0108,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0109,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0110,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0111,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0124,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0125,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0126,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0127,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0128,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0129,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0130,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0131,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0132,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0133,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0134,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0135,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0136,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0137,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0138,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0139,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0140,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0141,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0142,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0143,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0144,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0145,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0146,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0147,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0148,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0149,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0150,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0151,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0152,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0153,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0154,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0155,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0156,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0157,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0158,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0160,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0161,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0162,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0163,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0164,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0165,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0166,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0167,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0168,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0169,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0170,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0171,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0172,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0184,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0185,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0187,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0190,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0194,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0195,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0196,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0198,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0199,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0200,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0201,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0202,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0203,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0204,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0205,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0206,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0207,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0208,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0209,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0210,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0211,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0226,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0227,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0228,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0229,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0230,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0231,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0232,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0233,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0234,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0235,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0236,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0237,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0238,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0239,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0240,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0241,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0242,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0243,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0244,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0245,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0246,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0247,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0249,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0250,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0251,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0252,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0253,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0254,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0255,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0256,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0257,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0258,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0260,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0261,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0263,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0264,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0265,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0270,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0271,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0272,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0273,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0274,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0275,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0276,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0277,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0278,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0279,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0280,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0282,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0284,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0311,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0312,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0313,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0314,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0315,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0316,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0317,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0318,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0319,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0320,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0321,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0322,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0323,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0324,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0325,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0326,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0327,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0328,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0329,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0330,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0331,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0332,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0333,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0334,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0335,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0336,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0337,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0338,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0339,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0340,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0341,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0342,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0343,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0344,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0345,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0346,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0347,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0348,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0349,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0350,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0351,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0352,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0353,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0354,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0355,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0356,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0357,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0358,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0359,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0360,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0361,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0362,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0574,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0575,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0576,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0577,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0578,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0579,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0580,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0581,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0582,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0584,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0585,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0586,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0587,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0588,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0589,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0590,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0600,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0601,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0602,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0603,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0604,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0605,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0606,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0607,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0616,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0617,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0618,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0619,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0620,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0621,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0622,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0623,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0624,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0625,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0626,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0627,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0628,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0629,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0630,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0631,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0632,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0633,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0634,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l1124,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l1125,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,binta,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,iday,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,imonth,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,iyear,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,intid,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,l0548,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0011,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0012,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0013,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0016,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0019,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0533,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0636,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0637,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0638,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0639,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0640,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0641,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0642,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0643,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0644,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0645,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0646,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0647,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0648,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0649,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0650,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0651,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0652,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0653,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0654,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0655,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0656,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0657,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0658,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0660,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0661,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0662,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0663,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0664,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0665,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0666,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0667,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0668,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0669,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0670,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0671,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0672,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0673,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0674,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0675,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0676,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0677,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0678,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0679,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0680,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0681,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0682,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0683,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0061,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0063,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0062,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0065,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0859,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0860,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0861,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0862,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0066,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0067,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0068,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0069,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0070,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0071,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0072,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0073,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0074,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0057,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0281,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0283,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0285,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0286,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0288,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0287,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0863,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0289,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0291,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0290,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0864,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0292,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0294,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0293,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0865,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0295,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0297,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0296,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0866,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0298,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0300,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0299,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0867,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0301,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0303,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0302,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0868,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0304,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0306,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0305,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0869,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0307,,,,,,
