study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,range,concept,filter,goto,description,scripternotes,number,old.template.id,dataset,var_fix
soep-is,soep-is-2011,Q9,hwm,6,Monat,,Month,,int,,,hwm,,,,,Q9,,,
soep-is,soep-is-2011,Q10,,7,"Was ist das für ein Haustyp, in dem Sie hier wohnen?",Liste 10 vorlegen,What kind of a house is it in which you live?,Show list 10,cat,5+,,hhtyp,"Q8;HVJ=2,9",,,,Q10,,,
soep-is,soep-is-2011,Q11,,8,"Handelt es sich um ein Wohnheim, eine Pension oder eine ähnliche Unterkunft?",,"Is it a rooming house, guesthouse, or a similar accommodation?",,cat,4+,,hheim,"Q8;HVJ=2,9",,,,Q11,,,
soep-is,soep-is-2011,Q12,,9,"Wann wurde das Haus, in dem Ihre Wohnung liegt, etwa erbaut?",Liste 12 vorlegen,"When, approximately, was the house built in which your flat is located?",Show list 12,cat,6+,,hwohn09,"Q8;HVJ=2,9",,,,Q12,,,
soep-is,soep-is-2011,Q13.1,,10,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",,Can you also provide the exact year in which the house was built?,,cat,7+,,hwohn09a,Q12;HWOHN09=4,,,,Q13,,,
soep-is,soep-is-2011,Q13.2,,11,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",,Can you also provide the exact year in which the house was built?,,cat,8+,,hwohn09a,Q12;HWOHN09=5,,,,Q13,,,
soep-is,soep-is-2011,Q13.3,,12,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",,Can you also provide the exact year in which the house was built?,,cat,9+,,hwohn09a,Q12;HWOHN09=6,,,,Q13,,,
soep-is,soep-is-2011,Q13.4,,13,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",,Can you also provide the exact year in which the house was built?,,cat,10+,,hwohn09a,Q12;HWOHN09=7,,,,Q13,,,
soep-is,soep-is-2011,Q14,,14,Wie groß ist die Wohnfläche dieser Wohnung insgesamt?,,How large is the total living space in this flat?,,txt,,,,"Q8;HVJ=2,9",,,,Q14,,,
soep-is,soep-is-2011,Q14,hqm,14,qm,,qm,,int,,,hqm,,,,,Q14,,,
soep-is,soep-is-2011,Q15,,15,Wie würden Sie die Wohngegend hier beschreiben?,"Antwortvorgaben bitte vorlesen!
Liste 15 vorlegen",How would you describe your neighborhood?,"Please read out the possible responses!
Show list 15",cat,11+,,hwohn08,,,,,Q15,,,
soep-is,soep-is-2011,Q16,,16,"Wie beurteilen Sie den Zustand des Hauses, in dem Sie wohnen? Ist es in gutem Zustand, teilweise renovierungsbedürftig, ganz renovierungsbedürftig oder abbruchreif?",,"How would you characterize the condition of the house in which you live? Is it in good condition, in need of partial renovation, in need of complete renovation, or ready for demolition?",,cat,12+,,hzus,,,,,Q16,,,
soep-is,soep-is-2011,Q17,,17,Welche der folgenden Punkte treffen für Ihren Haushalt zu?,Liste 17 vorlegen,Which of the following applies to you?,Show list 17,txt,,,,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh01,17,Es gibt einen Farbfernseher im Haushalt,,The household has a color television,,cat,4+,,hh01,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh02,17,Es gibt ein Telefon im Haushalt,,The household has a telephone,,cat,4+,,hh02,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh11,17,Es gibt einen Internet-Anschluss im Haushalt,,The household has an internet access,,cat,4+,,hh11,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh03,17,Es gibt ein Auto im Haushalt,,The household has a car,,cat,4+,,hh03,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh05,17,"Die Wohnung liegt in einem Haus, das in einem guten Zustand ist",,The flat is located in a building which is in good condition,,cat,4+,,hh05,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh06,17,Das Haus liegt in einer guten Wohngegend,,The building is located in a good neighborhood,,cat,4+,,hh06,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh07,17,Ich habe finanzielle Rücklagen für Notfälle,,I have put some money aside for emergencies,,cat,4+,,hh07,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh08,17,Ich mache jedes Jahr eine mindestens einwöchige Urlaubsreise,,I take a vacation away from home for at least one week every year,,cat,4+,,hh08,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh09,17,Ich lade mindestens einmal im Monat Freunde zum Essen zu mir ein,,I invite friends over for dinner at least once a month,,cat,4+,,hh09,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh10,17,"Ich esse mindestens alle zwei Tage eine warme Mahlzeit mit Fleisch, Fisch oder Geflügel",,"II eat a hot meal with meat, fish, or poultry at least every other day",,cat,4+,,hh10,,,,,Q17,,,
soep-is,soep-is-2011,Q17,hh04,17,"Abgenutzte Möbel, auch wenn sie noch funktionsfähig sind, werden durch neue ersetzt",,Furniture which is worn out but can still be used is replaced by new furniture,,cat,4+,,hh04,,,,,Q17,,,
soep-is,soep-is-2011,Q17a,,18,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt einen Farbfernseher im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,,"In the previous question you indicated NO for ""The household has a color television"". Is it for financial or other reasons?",,cat,13+,,hh01a,Q17:HH01=2,,,,Q17a,,,
soep-is,soep-is-2011,Q17b,,19,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt ein Telefon im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,,"In the previous question you indicated NO for ""The household has a telephone"". Is it for financial or other reasons?",,cat,13+,,hh02a,Q17:HH02=2,,,,Q17b,,,
soep-is,soep-is-2011,Q17c,,20,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt einen Internet-Anschluss im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,,"In the previous question you indicated NO for ""The household has an internet access"". Is it for financial or other reasons?",,cat,13+,,hh11a,Q17:HH11=2,,,,Q17c,,,
soep-is,soep-is-2011,Q17d,,21,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt ein Auto im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,,"In the previous question you indicated NO for ""The household has a car"". Is it for financial or other reasons?",,cat,13+,,hh03a,Q17:HH03=2,,,,Q17d,,,
soep-is,soep-is-2011,Q17e,,22,"Bei der vorherigen Frage haben Sie bei dem Punkt „Die Wohnung liegt in einem Haus, das in einem guten Zustand ist“ NEIN angegeben. Hat das finanzielle oder andere Gründe?",,"In the previous question you indicated NO for ""The flat is located in a building which is in good condition"". Is it for financial or other reasons?",,cat,13+,,hh05a,Q17:HH05=2,,,,Q17e,,,
soep-is,soep-is-2011,Q17f,,23,Bei der vorherigen Frage haben Sie bei dem Punkt „Das Haus liegt in einer guten Wohngegend“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,,"In the previous question you indicated NO for ""The building is located in a good neighborhood"". Is it for financial or other reasons?",,cat,13+,,hh06a,Q17:HH06=2,,,,Q17f,,,
soep-is,soep-is-2011,Q17g,,24,Bei der vorherigen Frage haben Sie bei dem Punkt „Ich habe finanzielle Rücklagen für Notfälle“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,,"In the previous question you indicated NO for ""I have put some money aside for emergencies"". Is it for financial or other reasons?",,cat,13+,,hh07a,Q17:HH07=2,,,,Q17g,,,
soep-is,soep-is-2011,Q17h,,25,Bei der vorherigen Frage haben Sie bei dem Punkt „Ich mache jedes Jahr eine mindestens einwöchige Urlaubsreise NEIN angegeben. Hat das finanzielle oder andere Gründe?,,"In the previous question you indicated NO for ""I take a vacation away from home for at least one week every year"". Is it for financial or other reasons?",,cat,13+,,hh08a,Q17:HH08=2,,,,Q17h,,,
soep-is,soep-is-2011,Q17i,,26,Bei der vorherigen Frage haben Sie bei dem Punkt „Ich lade mindestens einmal im Monat Freunde zum Essen zu mir ein NEIN angegeben. Hat das finanzielle oder andere Gründe?,,"In the previous question you indicated NO for ""I invite friends over for dinner at least once a month"". Is it for financial or other reasons?",,cat,13+,,hh09a,Q17:HH09=2,,,,Q17i,,,
soep-is,soep-is-2011,Q17j,,27,"Bei der vorherigen Frage haben Sie bei dem Punkt „Ich esse mindestens alle zwei Tage eine warme Mahlzeit mit Fleisch, Fisch oder Geflügel NEIN angegeben. Hat das finanzielle oder andere Gründe?",,"In the previous question you indicated NO for ""II eat a hot meal with meat, fish, or poultry at least every other day"". Is it for financial or other reasons?",,cat,13+,,hh10a,Q17:HH10=2,,,,Q17j,,,
soep-is,soep-is-2011,Q17k,,28,"Bei der vorherigen Frage haben Sie bei dem Punkt „Abgenutzte Möbel, auch wenn sie noch funktionsfähig sind, werden durch neue ersetzt NEIN angegeben. Hat das finanzielle oder andere Gründe?",,"In the previous question you indicated NO for ""Furniture which is worn out but can still be used is replaced by new furniture"". Is it for financial or other reasons?",,cat,13+,,hh04a,Q17:HH04=2,,,,Q17k,,,
soep-is,soep-is-2011,Q18,,29,Bewohnen Sie diese Wohnung als …,,Do you live in the flat as …?,,cat,14+,,hm01,,,,,Q18,,,
soep-is,soep-is-2011,Q19,,30,Wie hoch ist derzeit die monatliche Miete?,,What is your monthly rent?,,txt,,,,"Q18;HM01=1,2",,,,Q19,,,
soep-is,soep-is-2011,Q19,hm04,30,Euro,,Euros,,int,,,hm04,,,,,Q19,,,
soep-is,soep-is-2011,Q19,hm05,30,Zahle keine Miete,,I don't pay rent,,bin,,,hm05,,,,,Q19,,,
soep-is,soep-is-2011,Q20,,31,Sind die Heizkosten im Mietpreis enthalten?,In der Regel ist in den Heizkosten das Warmwasser enthalten,Is heat included in your rent?,As a general rule heating costs include domestic hot water,cat,1+,,hm06,Q19:HM04=1,,,,Q20,,,
soep-is,soep-is-2011,Q21,,32,"Sind in dem Mietpreis andere Umlagen, z.B. für Wasser oder Müllabfuhr, teilweise oder ganz enthalten?",,"Are other costs  included in your rent, either partially or completely, for example, water, garbage removal, etc.?",,cat,15+16,,hm09,Q19:HM04=1,,,,Q21,,,
soep-is,soep-is-2011,Q22,,33,Und in welcher Höhe sind diese Umlagen im Mietpreis enthalten?,,And to what extent are these contributions included in the rent?,,txt,,,,"Q21;HM09=1,2",,,,Q22,,,
soep-is,soep-is-2011,Q22,hm10,33,Euro im Monat,,Euro per month,,int,,,hm10,,,,,Q22,,,
soep-is,soep-is-2011,Q22,hm11,33,weiß nicht,,don't know,,bin,,,hm11,,,,,Q22,,,
soep-is,soep-is-2011,Q23,,34,Können Sie die Miete für Ihre Wohnung ohne Probleme zahlen?,,Are you able to pay the rent without any difficulty?,,cat,1+16,,hzahl,"Q19:HM04=1,9",,,,Q23,,,
soep-is,soep-is-2011,Q24,,35,Haben Sie für diese selbstgenutzte Wohnung beziehungsweise dieses selbstgenutzte Haus noch finanzielle Belastungen aus der Abzahlung von Hypotheken oder Bauspardarlehen?,,"Do you still have financial obligations, for example loans or a mortgage, for this house or flat in which you live?",,cat,1+16,,he01,Q18;HM01=3,,,,Q24,,,
soep-is,soep-is-2011,Q25,,36,"Wie hoch ist der monatliche Betrag für Tilgung und Zinsen, den Sie für dieses Darlehen zu leisten haben?",Falls Betrag nicht genau bekannt: bitte schätzen!,How high are the monthly loan or mortgage payments including interest for this loan or mortgage?,"If you don't know the exact amount, please estimate!",txt,,,,Q24;HE01=1,,,,Q25,,,
soep-is,soep-is-2011,Q25,he02,36,Tilgung und Zinsen: Euro pro Monat,,Loan or mortgage payments and interest: euros per month,,int,,,he02,,,,,Q25,,,
soep-is,soep-is-2011,Q25b,,37,Können Sie die Tilgung beziehungsweise Zinsen für Ihr Wohnungseigentum ohne Probleme zahlen?,,Are you able to pay the mortgage/interest payments without any difficulty?,,cat,1+16,,hzahl1,Q18;HM01=3,,,,Q25b,,,
soep-is,soep-is-2011,Q26,,38,"Wie hoch waren die Instandhaltungskosten für diese Wohnung beziehungsweise dieses Haus, die Ihnen im Jahr 2010 entstanden sind?",Falls Betrag nicht genau bekannt: bitte schätzen!,"How high were the maintenance costs for this flat / house in the last calendar year, 2010?","If you don't know the exact amount, please estimate!",txt,,,,Q18;HM01=3,,,,Q26,,,
soep-is,soep-is-2011,Q26,he03,38,Euro im Jahr,,euros per year,,int,,,he03,,,,,Q26,,,
soep-is,soep-is-2011,Q27,,39,"Und wie hoch waren 2010 die Kosten für Wasser, Müllabfuhr, Straßenreinigung usw.?",Falls Betrag nicht genau bekannt: bitte schätzen!,"And what were the costs of water, garbage removal, street cleaning, etc. in 2010?","If you don't know the exact amount, please estimate!",txt,,,,Q18;HM01=3,,,,Q27,,,
soep-is,soep-is-2011,Q27,he05,39,Euro im Jahr,,euros per year,,int,,,he05,,,,,Q27,,,
soep-is,soep-is-2011,Q28,,40,"Zahlen Sie Wohngeld, also Umlagekosten für die Hausverwaltung usw.?",,Do you pay fees for the management or maintenance etc. of the building?,,cat,1+16,,he06,Q18;HM01=3,,,,Q28,,,
soep-is,soep-is-2011,Q29,,41,Wie viel Wohngeld müssen Sie pro Monat entrichten?,,How much do you pay per month in management / maintenance fees?,,txt,,,,Q28;HE06=1,,,,Q29,,,
soep-is,soep-is-2011,Q29,he07,41,Euro pro Monat,,euros per month,,int,,,he07,,,,,Q29,,,
soep-is,soep-is-2011,Q30,,42,Hatten Sie oder jemand anderer in Ihrem Haushalt im Jahr 2010 Einnahmen aus Vermietung oder Verpachtung von Grund- oder Hausbesitz?,"Gemeint sind tatsächliche Einnahmen, nicht der steuerliche Wert für Eigennutzung.","Did you or someone in your household receive income from letting or leasing
land or house / flat in year 2010?","What is referred to by this is the actual income, not the tax value for own use.",cat,1+16,,hverm1,,,,,Q30,,,
soep-is,soep-is-2011,Q31,,43,Wie hoch waren die Gesamteinnahmen aus Vermietung und Verpachtung im Jahr 2010 ungefähr?,Bitte geben Sie den Bruttobetrag einschließlich Umlagezahlungen an.,About how high was the total income from renting out or leasing out in year 2010?,Please state the gross amount including funds put aside for future use/maintenance/renovations.,txt,,,,Q30;HVERM1=1,,,,Q31,,,
soep-is,soep-is-2011,Q31,hverm2,43,Euro im Jahr 2010,,euros in year 2010,,int,,,hverm2,,,,,Q31,,,
soep-is,soep-is-2011,Q32A,,44,Welche Ausgaben für die vermieteten oder verpachteten Objekte standen dem im Jahr 2010 ungefähr gegenüber? Geben Sie bitte zunächst die Ausgaben für Betriebs- und Instandhaltungskosten an.,,What costs did you have for the objects you rented out in the year 2010? Please state for maintenance and repair costs first.,,txt,,,,,,,,Q32A,,,
soep-is,soep-is-2011,Q32A,hverm3,44,Betriebs- und Instandhaltungskosten: Euro im Jahr 2010,,Maintenance and repair costs: euros in the year 2010,,int,,,hverm3,,,,,Q32A,,,
soep-is,soep-is-2011,Q32B,,45,Welche  Tilgungszahlungen und Zinsen für Hypotheken oder Bauspardarlehen mussten Sie im Jahr 2010 für die vermieteten oder verpachteten Objekte aufbringen?,,"What loan, mortgage and interest payments did you needed to set aside for the objects you rented out in the year 2010?",,txt,,,,,,,,Q32B,,,
soep-is,soep-is-2011,Q32B,hverm4,45,Tilgung und Zinsen: Euro im Jahr 2010,,"Loan, mortgage and interest payments: euros in the year 2010",,int,,,hverm4,,,,,Q32B,,,
soep-is,soep-is-2011,Q33,,46,"Müssen Sie oder ein anderes Haushaltsmitglied derzeit Rückzahlungen und Zinsen für Kredite leisten, die Sie für Anschaffungen oder sonstige Ausgaben aufgenommen haben?","Nicht gemeint sind hier Tilgung und Zinsen für Hypotheken oder Bauspar-Darlehen, die Sie vorher schon angegeben haben.",Are you or is someone else in your household currently paying back loans and interest for large purchases or other expenditures?,"Please do not include loan, mortgage or interest payments
which you have already stated in previous questions.",cat,1+16,,hkred1,,,,,Q33,,,
soep-is,soep-is-2011,Q34,,47,Wie hoch ist der monatliche Betrag der für die Rückzahlung dieser Kredite einschließlich Zinsen verwendet wird?,Falls nicht genau bekannt: bitte schätzen!,"How high is the monthly rate, including interests that you pay on these loans?","If you don't know the exact amount, please estimate!",txt,,,,Q33;HKRED1=1,,,,Q34,,,
soep-is,soep-is-2011,Q34,hkred2,47,Kredit-Rückzahlung (einschließlich Zinsen): Euro pro Monat,,Loan repayment (include interest payments): euros per month,,int,,,hkred2,,,,,Q34,,,
soep-is,soep-is-2011,Q35,,48,Besaßen Sie oder andere Personen im Haushalt im Jahr 2010 eine oder mehrere Wertanlagen?,"Dazu zählen Sparbuch und Spargirokonto, Bausparverträge, Lebensversicherungen, festverzinsliche Wertpapiere wie Sparbriefe, Pfandbriefe und Bundesschatzbriefe, andere Wertpapiere wie Aktien, Fonds, Anleihen und Optionsscheine, aber auch Betriebsvermögen.",Did you or another member of the household own any savings or investment securities in the year 2010?,"Those include savings accounts, savings contracts for building a home, life insurances, fixed interest securities like saving bonds, mortgage bonds and federal savings bonds, other securities like stocks, funds, bonds and equity warrant, but also company assets.",cat,1+16,,hwa,,,,,Q35,,,
soep-is,soep-is-2011,Q36,,49,"Wie hoch waren, alles in allem, die Einnahmen aus Zinsen, Dividenden und Gewinnen aus allen Ihren Wertanlagen im Jahr 2010?",,"How high was your total income from interest, dividends and profits from all investments in the year 2010?",,txt,,,,Q35;HWA=1,,,,Q36,,,
soep-is,soep-is-2011,Q36,hzins1,49,im Jahr 2010: Euro,,In the year 2010: euros,,int,,,hzins1,,,,,Q36,,,
soep-is,soep-is-2011,Q36,2,49,Kann ich nicht sagen,,I can not tell,,bin,,,,,,,,Q36,,,
soep-is,soep-is-2011,Q37,,50,Bitte schätzen Sie den Betrag anhand der folgenden Kategorien.,Liste 37 vorlegen,Please estimate the exact amount according to the following categories,Show list 37,cat,17+16,,hzins2,Q36:HZINS1=2,,,,Q37,,,
soep-is,soep-is-2011,Q38,,51,Erhalten Sie oder ein anderes Haushaltsmitglied derzeit eine der folgenden staatlichen Leistungen?,Liste 38 vorlegen,Did you or one of the members of your household receive any of the following governmental benefits in the year 2010?,Show list 38,txt,,,,,,,,Q38,,,
soep-is,soep-is-2011,Q38,hdkg1,51,Kindergeld,,Child benefit (Kindergeld),,cat,1+,,hdkg1,,,,,Q38,,,
soep-is,soep-is-2011,Q38,hdkz1,51,"Kinderzuschlag, also zusätzlich zum Kindergeld beantragte Leistung für Geringverdiener",,"Supplementary child benefit (""Kinderzuschlag"" which is paid to low-income earners in addition to the child allowance, ""Kindergeld"")",,cat,1+,,hdkz1,,,,,Q38,,,
soep-is,soep-is-2011,Q38,hdag1,51,Arbeitslosengeld II einschließlich Sozialgeld und Unterkunftskosten,,"Unemployment benefit II including social benefit and costs of housing (""Arbeitslosengeld II einschließlich Sozialgeld und Unterkunftskosten"")",,cat,1+,,hdag1,,,,,Q38,,,
soep-is,soep-is-2011,Q38,hdpg1,51,Leistungen der Pflegeversicherung,,"Support for care of sick family members (""Leistungen der Pflegeversicherung"")",,cat,1+,,hdpg1,,,,,Q38,,,
soep-is,soep-is-2011,Q38,hdsh1,51,Laufende Hilfe zum Lebensunterhalt oder Hilfe in besonderen Lebenslagen,,"Regular support for living costs /
Support for special situations (""Laufende Hilfe zum Lebensunterhalt / Hilfe in besonderen Lebenslagen"")",,cat,1+,,hdsh1,,,,,Q38,,,
soep-is,soep-is-2011,Q38,hdgs1,51,Grundsicherung im Alter und bei Erwerbsminderung,,Basic income support for the elderly / those with reduced earning capacity (Grundsicherung im Alter und bei Erwerbsminderung),,cat,1+,,hdgs1,,,,,Q38,,,
soep-is,soep-is-2011,Q38,hdwg1,51,"Wohngeld oder Lastenzuschuss, die nicht im Arbeitslosengeld II oder der Sozialhilfe enthalten ist",,"Housing allowance (Wohngeld oder Lastenzuschuss), if not included in unemployment benefit II / social assistance (Arbeitslosengeld II / der Sozialhilfe)",,cat,1+,,hdwg1,,,,,Q38,,,
soep-is,soep-is-2011,Q39,,52,Wie viel Kindergeld erhalten Sie oder ein anderes Haushaltsmitglied pro Monat? Den Kinderzuschlag zählen Sie hier bitte nicht dazu.,,"How much are you or another household member currently receiving per month in child benefits (Kindergeld)? <wenn ""Kinderzuschlag"" in Vorfrage> Please do not include the supplementary child benefit (Kinderzuschlag).",,txt,,,,Q38:hdkg1=1,,,,Q39,,,
soep-is,soep-is-2011,Q39,hdkg2,52,Euro durchschnittlich pro Monat,,Average amount per month: ...euros,,int,,,hdkg2,,,,,Q39,,,
soep-is,soep-is-2011,Q40,,53,Und für wie viele Kinder erhalten Sie das Kindergeld?,,And for how many children are you receiving child benefits (Kindergeld) for?,,txt,,,,Q38:hdkg1=1,,,,Q40,,,
soep-is,soep-is-2011,Q40,hdkg3,53,Kinder,,children,,int,,,hdkg3,,,,,Q40,,,
soep-is,soep-is-2011,Q41,,54,Wie viel Kinderzuschlag erhalten Sie oder ein anderes Haushaltsmitglied pro Monat zusätzlich zum Kindergeld ?,,How much are you or another household member currently receiving per month in supplementary child benefits (Kinderzuschlag) in addition to child benefits (Kindergeld)?,,txt,,,,Q38:hdkz1=1,,,,Q41,,,
soep-is,soep-is-2011,Q41,hdkz2,54,Euro durchschnittlich pro Monat,,Average amount per month: ...euros,,int,,,hdkz2,,,,,Q41,,,
soep-is,soep-is-2011,Q42,,55,"Wie hoch ist der Betrag, den Sie oder ein anderes Haushaltsmitglied monatlich an Arbeitslosengeld II einschließlich Sozialgeld und Unterkunftskosten erhalten?",,"How much are you or another household member currently receiving per month in unemployment benefit II (Arbeitslosengeld II), including social benefit and accommodation expenses (Sozialgeld, Unterkunftskosten)?",,txt,,,,Q38:hdag1=1,,,,Q42,,,
soep-is,soep-is-2011,Q42,hdag2,55,Euro durchschnittlich pro Monat,,Average amount per month: ...euros,,int,,,hdag2,,,,,Q42,,,
soep-is,soep-is-2011,Q43,,56,"Wie hoch ist der Betrag, den Sie oder ein anderes Haushaltsmitglied monatlich für Leistungen aus der Pflegeversicherung erhalten?",,How much are you or another household member currently receiving per month for long-term care insurance benefits (Leistungen der Pflegeversicherung)?,,txt,,,,Q38:hdpg1=1,,,,Q43,,,
soep-is,soep-is-2011,Q43,hdpg2,56,Euro durchschnittlich pro Monat,,Average amount per month: ...euros,,int,,,hdpg2,,,,,Q43,,,
soep-is,soep-is-2011,Q44,,57,"Wie hoch ist der Betrag, den Sie oder ein anderes Haushaltsmitglied monatlich als Hilfe zum Lebensunterhalt erhalten?",,What is the amount that you or another household member receive monthly as assistance for livelihood?,,txt,,,,Q38:hdsh1=1,,,,Q44,,,
soep-is,soep-is-2011,Q44,hdsh2,57,Euro durchschnittlich pro Monat,,Average amount per month: ...euros,,int,,,hdsh2,,,,,Q44,,,
soep-is,soep-is-2011,Q45,,58,Wie viel Grundsicherung im Alter oder bei Erwerbsminderung erhalten Sie oder ein anderes Haushaltsmitglied pro Monat?,,How much are you or another household member currently receiving per month in basic income support for the elderly / those with reduced earning capacity (Grundsicherung im Alter oder bei Erwerbsminderung)?,,txt,,,,Q38:hdgs1=1,,,,Q45,,,
soep-is,soep-is-2011,Q45,hdgs2,58,Euro durchschnittlich pro Monat,,Average amount per month: ...euros,,int,,,hdgs2,,,,,Q45,,,
soep-is,soep-is-2011,Q46,,59,Wie viel Wohngeld oder Lastenzuschuss erhalten Sie oder ein anderes Haushaltsmitglied pro Monat?,,How much housing allowance (Wohngeld oder Lastenzuschuss) are you or another household member currently receiving per month?,,txt,,,,Q38:hdwg1=1,,,,Q46,,,
soep-is,soep-is-2011,Q46,hdwg2,59,Euro durchschnittlich pro Monat,,Average amount per month: ...euros,,int,,,hdwg2,,,,,Q46,,,
soep-is,soep-is-2011,Q47,,60,Wenn man mal alle Einkünfte zusammennimmt: Wie hoch ist das monatliche Haushaltseinkommen aller Haushaltsmitglieder heute?,"Bitte geben Sie den monatlichen Netto-Betrag an, also nach Abzug von Steuern und Sozialabgaben. Regelmäßige Zahlungen wie Renten, Wohngeld, Kindergeld, BAföG, Unterhaltszahlungen usw. rechnen Sie bitte dazu!
Falls nicht genau bekannt: Bitte schätzen Sie den monatlichen Betrag.",If you take a look at the total income from all members of the household: how high is the monthly household income today?,"Please state the net monthly income, which means after deductions for taxes and social security. Please include regular income such as pensions, housing allowance, child allowance, grants for higher education support payments, etc. If you do not know the exact amount, please estimate the amount per month.",txt,,,,,,,,Q47,,,
soep-is,soep-is-2011,Q47,hnetto,60,Euro im Monat,,euros per month,,int,,,hnetto,,,,,Q47,,,
soep-is,soep-is-2011,Q47N1,,61,Ist Ihr Haushaltseinkommen ...,,Is your household income...,,cat,18+16,,znetto,Q47:HNETTO=2,,,,Q47N1,,,
