input_study,input_dataset,input_version,input_variable,output_study,output_dataset,output_version,output_variable
soep-is,l11_inno_final,2011,lsta1,soep-is,bio,2013,l0013
soep-is,l11_inno_final,2011,lsta1a,soep-is,bio,2013,l0014
soep-is,l11_inno_final,2011,lsta2nr,soep-is,bio,2013,l0016
soep-is,l11_inno_final,2011,lzug01,soep-is,bio,2013,l0019
soep-is,l11_inno_final,2011,lwied,soep-is,bio,2013,l0057
soep-is,l11_inno_final,2011,lgesch1,soep-is,bio,2013,l0061
soep-is,l11_inno_final,2011,lgesch3,soep-is,bio,2013,l0062
soep-is,l11_inno_final,2011,lgesch2,soep-is,bio,2013,l0063
soep-is,l11_inno_final,2011,lgeka,soep-is,bio,2013,l0065
soep-is,l11_inno_final,2011,lkh03,soep-is,bio,2013,l0066
soep-is,l11_inno_final,2011,lkh04,soep-is,bio,2013,l0067
soep-is,l11_inno_final,2011,lkh05,soep-is,bio,2013,l0068
soep-is,l11_inno_final,2011,lkh06,soep-is,bio,2013,l0069
soep-is,l11_inno_final,2011,lkh07,soep-is,bio,2013,l0070
soep-is,l11_inno_final,2011,lkh08,soep-is,bio,2013,l0071
soep-is,l11_inno_final,2011,lkh09,soep-is,bio,2013,l0072
soep-is,l11_inno_final,2011,lkh10,soep-is,bio,2013,l0073
soep-is,l11_inno_final,2011,lkhka,soep-is,bio,2013,l0074
soep-is,l11_inno_final,2011,lvm,soep-is,bio,2013,l0077
soep-is,l11_inno_final,2011,lv03a,soep-is,bio,2013,l0084
soep-is,l11_inno_final,2011,lm03a,soep-is,bio,2013,l0085
soep-is,l11_inno_final,2011,lv03bnr,soep-is,bio,2013,l0086
soep-is,l11_inno_final,2011,lm03bnr,soep-is,bio,2013,l0087
soep-is,l11_inno_final,2011,lv04,soep-is,bio,2013,l0088
soep-is,l11_inno_final,2011,lm04,soep-is,bio,2013,l0089
soep-is,l11_inno_final,2011,lv05,soep-is,bio,2013,l0090
soep-is,l11_inno_final,2011,lm05,soep-is,bio,2013,l0091
soep-is,l11_inno_final,2011,lv06,soep-is,bio,2013,l0110
soep-is,l11_inno_final,2011,lm06,soep-is,bio,2013,l0111
soep-is,l11_inno_final,2011,lv08,soep-is,bio,2013,l0114
soep-is,l11_inno_final,2011,lm08,soep-is,bio,2013,l0115
soep-is,l11_inno_final,2011,lv09,soep-is,bio,2013,l0116
soep-is,l11_inno_final,2011,lm09,soep-is,bio,2013,l0117
soep-is,l11_inno_final,2011,lv10,soep-is,bio,2013,l0118
soep-is,l11_inno_final,2011,lm10,soep-is,bio,2013,l0119
soep-is,l11_inno_final,2011,lv11,soep-is,bio,2013,l0120
soep-is,l11_inno_final,2011,lm11,soep-is,bio,2013,l0121
soep-is,l11_inno_final,2011,lv12,soep-is,bio,2013,l0122
soep-is,l11_inno_final,2011,lm12,soep-is,bio,2013,l0123
soep-is,l11_inno_final,2011,lsab1,soep-is,bio,2013,l0182
soep-is,l11_inno_final,2011,lsab2,soep-is,bio,2013,l0183
soep-is,l11_inno_final,2011,lsab3,soep-is,bio,2013,l0186
soep-is,l11_inno_final,2011,lsab5,soep-is,bio,2013,l0188
soep-is,notdirectlydelivered11,2011,lsab7ost,soep-is,bio,2013,l0191
soep-is,l11_inno_final,2011,lsab9,soep-is,bio,2013,l0191
soep-is,l11_inno_final,2011,lsab7,soep-is,bio,2013,l0191
soep-is,l11_inno_final,2011,lab01,soep-is,bio,2013,l0197
soep-is,l11_inno_final,2011,lab02,soep-is,bio,2013,l0212
soep-is,l11_inno_final,2011,lab03,soep-is,bio,2013,l0214
soep-is,l11_inno_final,2011,lab04,soep-is,bio,2013,l0216
soep-is,l11_inno_final,2011,lab05,soep-is,bio,2013,l0218
soep-is,l11_inno_final,2011,lab06,soep-is,bio,2013,l0220
soep-is,l11_inno_final,2011,lab07,soep-is,bio,2013,l0222
soep-is,l11_inno_final,2011,lab08x,soep-is,bio,2013,l0224
soep-is,l11_inno_final,2011,lab08,soep-is,bio,2013,l0224
soep-is,l11_inno_final,2011,l1no,soep-is,bio,2013,l0248
soep-is,l11_inno_final,2011,lend,soep-is,bio,2013,l0266
soep-is,l11_inno_final,2011,lstd,soep-is,bio,2013,l0267
soep-is,l11_inno_final,2011,loed,soep-is,bio,2013,l0269
soep-is,l11_inno_letzte_Stelle,2011,larb,soep-is,bio,2013,l0270
soep-is,l11_inno_letzte_Stelle,2011,lsst1,soep-is,bio,2013,l0272
soep-is,l11_inno_letzte_Stelle,2011,lsst2,soep-is,bio,2013,l0273
soep-is,l11_inno_letzte_Stelle,2011,lsst3,soep-is,bio,2013,l0274
soep-is,l11_inno_letzte_Stelle,2011,lsst4,soep-is,bio,2013,l0275
soep-is,l11_inno_letzte_Stelle,2011,lazubi,soep-is,bio,2013,l0276
soep-is,l11_inno_letzte_Stelle,2011,lang,soep-is,bio,2013,l0277
soep-is,l11_inno_letzte_Stelle,2011,lamt,soep-is,bio,2013,l0278
soep-is,l11_inno_final,2011,l2wohn1,soep-is,bio,2013,l0281
soep-is,l11_inno_final,2011,l2wohn3,soep-is,bio,2013,l0283
soep-is,l11_inno_final,2011,lkind,soep-is,bio,2013,l0285
soep-is,l11_inno_final,2011,lkno,soep-is,bio,2013,l0286
soep-is,l11_inno_final,2011,lkgeb1,soep-is,bio,2013,l0287
soep-is,l11_inno_final,2011,lksex1,soep-is,bio,2013,l0288
soep-is,l11_inno_final,2011,lkwo1,soep-is,bio,2013,l0289
soep-is,l11_inno_final,2011,lkgeb2,soep-is,bio,2013,l0290
soep-is,l11_inno_final,2011,lksex2,soep-is,bio,2013,l0291
soep-is,l11_inno_final,2011,lkwo2,soep-is,bio,2013,l0292
soep-is,l11_inno_final,2011,lkgeb3,soep-is,bio,2013,l0293
soep-is,l11_inno_final,2011,lksex3,soep-is,bio,2013,l0294
soep-is,l11_inno_final,2011,lkwo3,soep-is,bio,2013,l0295
soep-is,l11_inno_final,2011,lkgeb4,soep-is,bio,2013,l0296
soep-is,l11_inno_final,2011,lksex4,soep-is,bio,2013,l0297
soep-is,l11_inno_final,2011,lkwo4,soep-is,bio,2013,l0298
soep-is,l11_inno_final,2011,lkgeb5,soep-is,bio,2013,l0299
soep-is,l11_inno_final,2011,lksex5,soep-is,bio,2013,l0300
soep-is,l11_inno_final,2011,lkwo5,soep-is,bio,2013,l0301
soep-is,l11_inno_final,2011,lkgeb6,soep-is,bio,2013,l0302
soep-is,l11_inno_final,2011,lksex6,soep-is,bio,2013,l0303
soep-is,l11_inno_final,2011,lkwo6,soep-is,bio,2013,l0304
soep-is,l11_inno_final,2011,lkgeb7,soep-is,bio,2013,l0305
soep-is,l11_inno_final,2011,lksex7,soep-is,bio,2013,l0306
soep-is,l11_inno_final,2011,lkwo7,soep-is,bio,2013,l0307
soep-is,l11_inno_final,2011,lkgeb8,soep-is,bio,2013,l0308
soep-is,l11_inno_final,2011,lksex8,soep-is,bio,2013,l0309
soep-is,l11_inno_final,2011,lkwo8,soep-is,bio,2013,l0310
soep-is,l11_inno_final,2011,lsta3,soep-is,bio,2013,l0533
soep-is,l11_inno_final,2011,lpnatnr,soep-is,bio,2013,l0535
soep-is,l11_inno_final,2011,lgesch4,soep-is,bio,2013,l0600
soep-is,l11_inno_final,2011,lgesch4,soep-is,bio,2013,l0601
soep-is,l11_inno_final,2011,lgesch4,soep-is,bio,2013,l0602
soep-is,l11_inno_final,2011,lgesch4,soep-is,bio,2013,l0603
soep-is,l11_inno_final,2011,pp1a,soep-is,bio,2013,l0635
soep-is,l11_inno_final,2011,ppja,soep-is,bio,2013,l0636
soep-is,l11_inno_final,2011,ppleb1a,soep-is,bio,2013,l0637
soep-is,l11_inno_final,2011,ppleba,soep-is,bio,2013,l0638
soep-is,l11_inno_final,2011,pplebja,soep-is,bio,2013,l0639
soep-is,l11_inno_final,2011,pehe1a,soep-is,bio,2013,l0640
soep-is,l11_inno_Jahresangabe Heirat,2011,pehe2a,soep-is,bio,2013,l0641
soep-is,l11_inno_final,2011,pp1b,soep-is,bio,2013,l0642
soep-is,l11_inno_final,2011,ppjb,soep-is,bio,2013,l0643
soep-is,l11_inno_final,2011,ppendb,soep-is,bio,2013,l0644
soep-is,l11_inno_final,2011,ppend2b,soep-is,bio,2013,l0645
soep-is,l11_inno_final,2011,ppleb1b,soep-is,bio,2013,l0646
soep-is,l11_inno_final,2011,ppleb2b,soep-is,bio,2013,l0647
soep-is,l11_inno_final,2011,ppleb3b,soep-is,bio,2013,l0648
soep-is,l11_inno_final,2011,ppleb4b,soep-is,bio,2013,l0649
soep-is,l11_inno_final,2011,pehe1b,soep-is,bio,2013,l0650
soep-is,l11_inno_final,2011,pehe2b,soep-is,bio,2013,l0651
soep-is,l11_inno_final,2011,pehe3b,soep-is,bio,2013,l0652
soep-is,l11_inno_final,2011,pehe4b,soep-is,bio,2013,l0653
soep-is,l11_inno_final,2011,pp1c,soep-is,bio,2013,l0654
soep-is,l11_inno_final,2011,ppjc,soep-is,bio,2013,l0655
soep-is,l11_inno_final,2011,ppendc,soep-is,bio,2013,l0656
soep-is,l11_inno_final,2011,ppend2c,soep-is,bio,2013,l0657
soep-is,l11_inno_final,2011,ppleb1c,soep-is,bio,2013,l0658
soep-is,l11_inno_final,2011,ppleb2c,soep-is,bio,2013,l0660
soep-is,l11_inno_final,2011,ppleb3c,soep-is,bio,2013,l0661
soep-is,l11_inno_final,2011,ppleb4c,soep-is,bio,2013,l0662
soep-is,l11_inno_final,2011,pehe1c,soep-is,bio,2013,l0663
soep-is,l11_inno_final,2011,pehe2c,soep-is,bio,2013,l0664
soep-is,l11_inno_final,2011,pehe3c,soep-is,bio,2013,l0665
soep-is,l11_inno_final,2011,pehe4c,soep-is,bio,2013,l0666
soep-is,l11_inno_final,2011,pp1d,soep-is,bio,2013,l0667
soep-is,l11_inno_final,2011,ppjd,soep-is,bio,2013,l0668
soep-is,l11_inno_final,2011,ppendd,soep-is,bio,2013,l0669
soep-is,l11_inno_final,2011,ppend2d,soep-is,bio,2013,l0670
soep-is,l11_inno_final,2011,ppleb1d,soep-is,bio,2013,l0671
soep-is,l11_inno_final,2011,ppleb2d,soep-is,bio,2013,l0672
soep-is,l11_inno_final,2011,ppleb3d,soep-is,bio,2013,l0673
soep-is,l11_inno_final,2011,ppleb4d,soep-is,bio,2013,l0674
soep-is,l11_inno_final,2011,pehe1d,soep-is,bio,2013,l0675
soep-is,l11_inno_final,2011,pehe2d,soep-is,bio,2013,l0676
soep-is,l11_inno_final,2011,pehe3d,soep-is,bio,2013,l0677
soep-is,l11_inno_final,2011,pehe4d,soep-is,bio,2013,l0678
soep-is,l11_inno_final,2011,pehe1e,soep-is,bio,2013,l0679
soep-is,l11_inno_final,2011,pehe4e,soep-is,bio,2013,l0680
soep-is,l11_inno_final,2011,pehe5e,soep-is,bio,2013,l0681
soep-is,l11_inno_final,2011,pehe6e,soep-is,bio,2013,l0682
soep-is,l11_inno_final,2011,pehe7e,soep-is,bio,2013,l0683
soep-is,l11_inno_final,2011,lkgeb9,soep-is,bio,2013,l0850
soep-is,l11_inno_final,2011,lksex9,soep-is,bio,2013,l0851
soep-is,l11_inno_final,2011,lkwo9,soep-is,bio,2013,l0852
soep-is,l11_inno_final,2011,lkgeb10,soep-is,bio,2013,l0853
soep-is,l11_inno_final,2011,lksex10,soep-is,bio,2013,l0854
soep-is,l11_inno_final,2011,lkwo10,soep-is,bio,2013,l0855
soep-is,l11_inno_final,2011,lbesch10,soep-is,bio,2013,l0856
soep-is,l11_inno_final,2011,lbesch10n,soep-is,bio,2013,l0857
soep-is,l11_inno_final,2011,lal10a,soep-is,bio,2013,l0875
soep-is,l11_inno_final,2011,lal10b,soep-is,bio,2013,l0876
soep-is,l11_inno_final,2011,lal10c,soep-is,bio,2013,l0878
soep-is,l11_inno_final,2011,lrelneu,soep-is,bio,2013,l0880
soep-is,l11_inno_final,2011,lrelso,soep-is,bio,2013,l0881
soep-is,l11_inno_final,2011,lrel,soep-is,bio,2013,l0881
soep-is,l11_inno_Jahresangabe Heirat,2011,pnrfest,soep-is,bio,2013,pid
soep-is,p11_Inno_final,2011,pnrfest,soep-is,bio,2013,pid
soep-is,l11_inno_final,2011,pnrfest,soep-is,bio,2013,pid
soep-is,l11_inno_final,2011,ppnr,soep-is,bio,2013,plk0001
soep-is,h11_Inno_final,2011,stichu,soep-is,bio,2013,sample1
soep-is,p11_Inno_final,2011,stichu,soep-is,bio,2013,sample1
soep-is,mc11_Inno_final,2011,stichu,soep-is,bio,2013,sample1
soep-is,ma11_Inno_final,2011,stichu,soep-is,bio,2013,sample1
soep-is,l11_inno_final,2011,stichu,soep-is,bio,2013,sample1
soep-is,mb11_inno_final,2011,stichu,soep-is,bio,2013,sample1
soep-is,ma11_Inno_final,2011,jahr,soep-is,bio,2013,syear
soep-is,l11_inno_final,2011,jahr,soep-is,bio,2013,syear
soep-is,mc11_Inno_final,2011,jahr,soep-is,bio,2013,syear
soep-is,p11_Inno_final,2011,jahr,soep-is,bio,2013,syear
soep-is,h11_Inno_final,2011,jahr,soep-is,bio,2013,syear
soep-is,mb11_inno_final,2011,jahr,soep-is,bio,2013,syear
soep-is,l11_inno_final,2011,lform,soep-is,bio,2014,binta
soep-is,mc11_Inno_final,2011,urhh,soep-is,bio,2014,cid
soep-is,p11_Inno_final,2011,urhh,soep-is,bio,2014,cid
soep-is,mb11_inno_final,2011,urhh,soep-is,bio,2014,cid
soep-is,ma11_Inno_final,2011,urhh,soep-is,bio,2014,cid
soep-is,h11_Inno_final,2011,urhh,soep-is,bio,2014,cid
soep-is,l11_inno_final,2011,urhh,soep-is,bio,2014,cid
soep-is,h11_Inno_final,2011,hnr,soep-is,bio,2014,hid
soep-is,p11_Inno_final,2011,hnr,soep-is,bio,2014,hid
soep-is,mb11_inno_final,2011,hnr,soep-is,bio,2014,hid
soep-is,mc11_Inno_final,2011,hnr,soep-is,bio,2014,hid
soep-is,l11_inno_final,2011,hnr,soep-is,bio,2014,hid
soep-is,ma11_Inno_final,2011,hnr,soep-is,bio,2014,hid
soep-is,l11_inno_Jahresangabe Heirat,2011,hnr,soep-is,bio,2014,hid
soep-is,l11_inno_final,2011,ldatt,soep-is,bio,2014,iday
soep-is,l11_inno_final,2011,ldatm,soep-is,bio,2014,imonth
soep-is,l11_inno_final,2011,lsta1,soep-is,bio,2014,l0013
soep-is,l11_inno_final,2011,lsta2nr,soep-is,bio,2014,l0016
soep-is,l11_inno_final,2011,lzug01,soep-is,bio,2014,l0019
soep-is,l11_inno_final,2011,lwied,soep-is,bio,2014,l0057
soep-is,l11_inno_final,2011,lgesch1,soep-is,bio,2014,l0061
soep-is,l11_inno_final,2011,lgesch3,soep-is,bio,2014,l0062
soep-is,l11_inno_final,2011,lgesch2,soep-is,bio,2014,l0063
soep-is,l11_inno_final,2011,lgeka,soep-is,bio,2014,l0065
soep-is,l11_inno_final,2011,lkh03,soep-is,bio,2014,l0066
soep-is,l11_inno_final,2011,lkh04,soep-is,bio,2014,l0067
soep-is,l11_inno_final,2011,lkh05,soep-is,bio,2014,l0068
soep-is,l11_inno_final,2011,lkh06,soep-is,bio,2014,l0069
soep-is,l11_inno_final,2011,lkh07,soep-is,bio,2014,l0070
soep-is,l11_inno_final,2011,lkh08,soep-is,bio,2014,l0071
soep-is,l11_inno_final,2011,lkh09,soep-is,bio,2014,l0072
soep-is,l11_inno_final,2011,lkh10,soep-is,bio,2014,l0073
soep-is,l11_inno_final,2011,lkhka,soep-is,bio,2014,l0074
soep-is,l11_inno_final,2011,lvm,soep-is,bio,2014,l0077
soep-is,l11_inno_final,2011,lv03a,soep-is,bio,2014,l0084
soep-is,l11_inno_final,2011,lm03a,soep-is,bio,2014,l0085
soep-is,l11_inno_final,2011,lv03bnr,soep-is,bio,2014,l0086
soep-is,l11_inno_final,2011,lm03bnr,soep-is,bio,2014,l0087
soep-is,l11_inno_final,2011,lv04,soep-is,bio,2014,l0088
soep-is,l11_inno_final,2011,lm04,soep-is,bio,2014,l0089
soep-is,l11_inno_final,2011,lv05,soep-is,bio,2014,l0090
soep-is,l11_inno_final,2011,lm05,soep-is,bio,2014,l0091
soep-is,l11_inno_final,2011,lv06,soep-is,bio,2014,l0110
soep-is,l11_inno_final,2011,lm06,soep-is,bio,2014,l0111
soep-is,l11_inno_final,2011,lv08,soep-is,bio,2014,l0114
soep-is,l11_inno_final,2011,lm08,soep-is,bio,2014,l0115
soep-is,l11_inno_final,2011,lv09,soep-is,bio,2014,l0116
soep-is,l11_inno_final,2011,lm09,soep-is,bio,2014,l0117
soep-is,l11_inno_final,2011,lv10,soep-is,bio,2014,l0118
soep-is,l11_inno_final,2011,lm10,soep-is,bio,2014,l0119
soep-is,l11_inno_final,2011,lv11,soep-is,bio,2014,l0120
soep-is,l11_inno_final,2011,lm11,soep-is,bio,2014,l0121
soep-is,l11_inno_final,2011,lv12,soep-is,bio,2014,l0122
soep-is,l11_inno_final,2011,lm12,soep-is,bio,2014,l0123
soep-is,l11_inno_final,2011,lsab1,soep-is,bio,2014,l0182
soep-is,l11_inno_final,2011,lsab2,soep-is,bio,2014,l0183
soep-is,l11_inno_final,2011,lsab3,soep-is,bio,2014,l0186
soep-is,l11_inno_final,2011,lsab5,soep-is,bio,2014,l0188
soep-is,notdirectlydelivered11,2011,lsab7ost,soep-is,bio,2014,l0191
soep-is,l11_inno_final,2011,lsab7,soep-is,bio,2014,l0191
soep-is,l11_inno_final,2011,lsab9,soep-is,bio,2014,l0191
soep-is,l11_inno_final,2011,lab01,soep-is,bio,2014,l0197
soep-is,l11_inno_final,2011,lab02,soep-is,bio,2014,l0212
soep-is,l11_inno_final,2011,lab03,soep-is,bio,2014,l0214
soep-is,l11_inno_final,2011,lab04,soep-is,bio,2014,l0216
soep-is,l11_inno_final,2011,lab05,soep-is,bio,2014,l0218
soep-is,l11_inno_final,2011,lab06,soep-is,bio,2014,l0220
soep-is,l11_inno_final,2011,lab07,soep-is,bio,2014,l0222
soep-is,l11_inno_final,2011,lab08,soep-is,bio,2014,l0224
soep-is,l11_inno_final,2011,lab08x,soep-is,bio,2014,l0224
soep-is,l11_inno_final,2011,l1no,soep-is,bio,2014,l0248
soep-is,l11_inno_final,2011,lend,soep-is,bio,2014,l0266
soep-is,l11_inno_final,2011,lstd,soep-is,bio,2014,l0267
soep-is,l11_inno_final,2011,loed,soep-is,bio,2014,l0269
soep-is,l11_inno_letzte_Stelle,2011,larb,soep-is,bio,2014,l0270
soep-is,l11_inno_letzte_Stelle,2011,lsst1,soep-is,bio,2014,l0272
soep-is,l11_inno_letzte_Stelle,2011,lsst2,soep-is,bio,2014,l0273
soep-is,l11_inno_letzte_Stelle,2011,lsst3,soep-is,bio,2014,l0274
soep-is,l11_inno_letzte_Stelle,2011,lsst4,soep-is,bio,2014,l0275
soep-is,l11_inno_letzte_Stelle,2011,lazubi,soep-is,bio,2014,l0276
soep-is,l11_inno_letzte_Stelle,2011,lang,soep-is,bio,2014,l0277
soep-is,l11_inno_letzte_Stelle,2011,lamt,soep-is,bio,2014,l0278
soep-is,l11_inno_final,2011,l2wohn1,soep-is,bio,2014,l0281
soep-is,l11_inno_final,2011,l2wohn3,soep-is,bio,2014,l0283
soep-is,l11_inno_final,2011,lkind,soep-is,bio,2014,l0285
soep-is,l11_inno_final,2011,lkno,soep-is,bio,2014,l0286
soep-is,l11_inno_final,2011,lkgeb1,soep-is,bio,2014,l0287
soep-is,l11_inno_final,2011,lksex1,soep-is,bio,2014,l0288
soep-is,l11_inno_final,2011,lkwo1,soep-is,bio,2014,l0289
soep-is,l11_inno_final,2011,lkgeb2,soep-is,bio,2014,l0290
soep-is,l11_inno_final,2011,lksex2,soep-is,bio,2014,l0291
soep-is,l11_inno_final,2011,lkwo2,soep-is,bio,2014,l0292
soep-is,l11_inno_final,2011,lkgeb3,soep-is,bio,2014,l0293
soep-is,l11_inno_final,2011,lksex3,soep-is,bio,2014,l0294
soep-is,l11_inno_final,2011,lkwo3,soep-is,bio,2014,l0295
soep-is,l11_inno_final,2011,lkgeb4,soep-is,bio,2014,l0296
soep-is,l11_inno_final,2011,lksex4,soep-is,bio,2014,l0297
soep-is,l11_inno_final,2011,lkwo4,soep-is,bio,2014,l0298
soep-is,l11_inno_final,2011,lkgeb5,soep-is,bio,2014,l0299
soep-is,l11_inno_final,2011,lksex5,soep-is,bio,2014,l0300
soep-is,l11_inno_final,2011,lkwo5,soep-is,bio,2014,l0301
soep-is,l11_inno_final,2011,lkgeb6,soep-is,bio,2014,l0302
soep-is,l11_inno_final,2011,lksex6,soep-is,bio,2014,l0303
soep-is,l11_inno_final,2011,lkwo6,soep-is,bio,2014,l0304
soep-is,l11_inno_final,2011,lkgeb7,soep-is,bio,2014,l0305
soep-is,l11_inno_final,2011,lksex7,soep-is,bio,2014,l0306
soep-is,l11_inno_final,2011,lkwo7,soep-is,bio,2014,l0307
soep-is,l11_inno_final,2011,lkgeb8,soep-is,bio,2014,l0308
soep-is,l11_inno_final,2011,lksex8,soep-is,bio,2014,l0309
soep-is,l11_inno_final,2011,lkwo8,soep-is,bio,2014,l0310
soep-is,l11_inno_final,2011,lsta3,soep-is,bio,2014,l0533
soep-is,l11_inno_final,2011,lgesch4,soep-is,bio,2014,l0600
soep-is,l11_inno_final,2011,lgesch4,soep-is,bio,2014,l0601
soep-is,l11_inno_final,2011,lgesch4,soep-is,bio,2014,l0602
soep-is,l11_inno_final,2011,lgesch4,soep-is,bio,2014,l0603
soep-is,l11_inno_final,2011,ppja,soep-is,bio,2014,l0636
soep-is,l11_inno_final,2011,ppleb1a,soep-is,bio,2014,l0637
soep-is,l11_inno_final,2011,ppleba,soep-is,bio,2014,l0638
soep-is,l11_inno_final,2011,pplebja,soep-is,bio,2014,l0639
soep-is,l11_inno_final,2011,pehe1a,soep-is,bio,2014,l0640
soep-is,l11_inno_Jahresangabe Heirat,2011,pehe2a,soep-is,bio,2014,l0641
soep-is,l11_inno_final,2011,pp1b,soep-is,bio,2014,l0642
soep-is,l11_inno_final,2011,ppjb,soep-is,bio,2014,l0643
soep-is,l11_inno_final,2011,ppendb,soep-is,bio,2014,l0644
soep-is,l11_inno_final,2011,ppend2b,soep-is,bio,2014,l0645
soep-is,l11_inno_final,2011,ppleb1b,soep-is,bio,2014,l0646
soep-is,l11_inno_final,2011,ppleb2b,soep-is,bio,2014,l0647
soep-is,l11_inno_final,2011,ppleb3b,soep-is,bio,2014,l0648
soep-is,l11_inno_final,2011,ppleb4b,soep-is,bio,2014,l0649
soep-is,l11_inno_final,2011,pehe1b,soep-is,bio,2014,l0650
soep-is,l11_inno_final,2011,pehe2b,soep-is,bio,2014,l0651
soep-is,l11_inno_final,2011,pehe3b,soep-is,bio,2014,l0652
soep-is,l11_inno_final,2011,pehe4b,soep-is,bio,2014,l0653
soep-is,l11_inno_final,2011,pp1c,soep-is,bio,2014,l0654
soep-is,l11_inno_final,2011,ppjc,soep-is,bio,2014,l0655
soep-is,l11_inno_final,2011,ppendc,soep-is,bio,2014,l0656
soep-is,l11_inno_final,2011,ppend2c,soep-is,bio,2014,l0657
soep-is,l11_inno_final,2011,ppleb1c,soep-is,bio,2014,l0658
soep-is,l11_inno_final,2011,ppleb2c,soep-is,bio,2014,l0660
soep-is,l11_inno_final,2011,ppleb3c,soep-is,bio,2014,l0661
