study,questionnaire,question,item,number,concept,text,instruction,answer_list,scale,filter,goto,label,description,dummy,meta,view_sort_id,view_lft,view_rgt,view_import_note,view_import_concept,view_import_type,view_first_concept,view_calculated_number,view_calculated_item,text_de,instruction_de
soep-is,soep-is-2011,Q17h,,0,,"In the previous question you indicated NO for ""I take a vacation away from home for at least one week every year"". Is it for financial or other reasons?",,q1702,cat,Q17:HH08=2,,,,,,44,29,31,,,,"",,,Bei der vorherigen Frage haben Sie bei dem Punkt „Ich mache jedes Jahr eine mindestens einwöchige Urlaubsreise NEIN angegeben. Hat das finanzielle oder andere Gründe?,
soep-is,soep-is-2011,Q17i,,0,,"In the previous question you indicated NO for ""I invite friends over for dinner at least once a month"". Is it for financial or other reasons?",,q1702,cat,Q17:HH09=2,,,,,,45,30,32,,,,"",,,Bei der vorherigen Frage haben Sie bei dem Punkt „Ich lade mindestens einmal im Monat Freunde zum Essen zu mir ein NEIN angegeben. Hat das finanzielle oder andere Gründe?,
soep-is,soep-is-2011,Q17j,,0,,"In the previous question you indicated NO for ""II eat a hot meal with meat, fish, or poultry at least every other day"". Is it for financial or other reasons?",,q1702,cat,Q17:HH10=2,,,,,,46,31,33,,,,"",,,"Bei der vorherigen Frage haben Sie bei dem Punkt „Ich esse mindestens alle zwei Tage eine warme Mahlzeit mit Fleisch, Fisch oder Geflügel NEIN angegeben. Hat das finanzielle oder andere Gründe?",
soep-is,soep-is-2011,Q17k,,0,,"In the previous question you indicated NO for ""Furniture which is worn out but can still be used is replaced by new furniture"". Is it for financial or other reasons?",,q1702,cat,Q17:HH04=2,,,,,,47,32,34,,,,"",,,"Bei der vorherigen Frage haben Sie bei dem Punkt „Abgenutzte Möbel, auch wenn sie noch funktionsfähig sind, werden durch neue ersetzt NEIN angegeben. Hat das finanzielle oder andere Gründe?",
soep-is,soep-is-2011,Q18,,0,,Do you live in the flat as …?,,q18,cat,,,,,,,48,33,35,,,,"",,,Bewohnen Sie diese Wohnung als …,
soep-is,soep-is-2011,Q19,,0,,What is your monthly rent?,,,txt,"Q18;HM01=1,2",,,,,,49,34,37,,,,,,,Wie hoch ist derzeit die monatliche Miete?,
soep-is,soep-is-2011,Q19,0,0,,I don't pay rent,,,bin,,,,,,,51,,,,,,,,,Zahle keine Miete,
soep-is,soep-is-2011,Q20,,0,,Is heat included in your rent?,,q20,cat,Q19:HM04=1,,,,,,52,35,38,,,,"",,,Sind die Heizkosten im Mietpreis enthalten?,In der Regel ist in den Heizkosten das Warmwasser enthalten
soep-is,soep-is-2011,Q21,,0,,"Are other costs  included in your rent, either partially or completely, for example, water, garbage removal, etc.?",,q21,cat,Q19:HM04=1,,,,,,53,37,39,,,,"",,,"Sind in dem Mietpreis andere Umlagen, z.B. für Wasser oder Müllabfuhr, teilweise oder ganz enthalten?",
soep-is,soep-is-2011,Q22,,0,,And to what extent are these contributions included in the rent?,,,txt,"Q21;HM09=1,2",,,,,,54,38,41,,,,,,,Und in welcher Höhe sind diese Umlagen im Mietpreis enthalten?,
soep-is,soep-is-2011,Q22,0,0,,don't know,,,bin,,,,,,,56,,,,,,,,,weiß nicht,
soep-is,soep-is-2011,Q23,,0,,Are you able to pay the rent without any difficulty?,,q23,cat,"Q19:HM04=1,9",,,,,,57,39,42,,,,"",,,Können Sie die Miete für Ihre Wohnung ohne Probleme zahlen?,
soep-is,soep-is-2011,Q24,,0,,"Do you still have financial obligations, for example loans or a mortgage, for this house or flat in which you live?",,q24,cat,Q18;HM01=3,,,,,,58,41,43,,,,"",,,Haben Sie für diese selbstgenutzte Wohnung beziehungsweise dieses selbstgenutzte Haus noch finanzielle Belastungen aus der Abzahlung von Hypotheken oder Bauspardarlehen?,
soep-is,soep-is-2011,Q25,,0,,How high are the monthly loan or mortgage payments including interest for this loan or mortgage?,,,txt,Q24;HE01=1,,,,,,59,42,45,,,,,,,"Wie hoch ist der monatliche Betrag für Tilgung und Zinsen, den Sie für dieses Darlehen zu leisten haben?",Falls Betrag nicht genau bekannt: bitte schätzen!
soep-is,soep-is-2011,Q25,0,0,,Loan or mortgage payments and interest: euros per month,,,int,,,,,,,60,,,,,,,,,Tilgung und Zinsen: Euro pro Monat,
soep-is,soep-is-2011,Q25b,,0,,Are you able to pay the mortgage/interest payments without any difficulty?,,q2502,cat,Q18;HM01=3,,,,,,61,43,46,,,,"",,,Können Sie die Tilgung beziehungsweise Zinsen für Ihr Wohnungseigentum ohne Probleme zahlen?,
soep-is,soep-is-2011,Q26,,0,,"How high were the maintenance costs for this flat / house in the last calendar year, 2010?",,,txt,Q18;HM01=3,,,,,,62,45,48,,,,,,,"Wie hoch waren die Instandhaltungskosten für diese Wohnung beziehungsweise dieses Haus, die Ihnen im Jahr 2010 entstanden sind?",Falls Betrag nicht genau bekannt: bitte schätzen!
soep-is,soep-is-2011,Q26,0,0,,euros per year,,,int,,,,,,,63,,,,,,,,,Euro im Jahr,
soep-is,soep-is-2011,Q27,,0,,"And what were the costs of water, garbage removal, street cleaning, etc. in 2010?",,,txt,Q18;HM01=3,,,,,,64,46,50,,,,,,,"Und wie hoch waren 2010 die Kosten für Wasser, Müllabfuhr, Straßenreinigung usw.?",Falls Betrag nicht genau bekannt: bitte schätzen!
soep-is,soep-is-2011,Q27,0,0,,euros per year,,,int,,,,,,,65,,,,,,,,,Euro im Jahr,
soep-is,soep-is-2011,Q28,,0,,Do you pay fees for the management or maintenance etc. of the building?,,q28,cat,Q18;HM01=3,,,,,,66,48,51,,,,"",,,"Zahlen Sie Wohngeld, also Umlagekosten für die Hausverwaltung usw.?",
soep-is,soep-is-2011,Q29,,0,,How much do you pay per month in management / maintenance fees?,,,txt,Q28;HE06=1,,,,,,67,50,53,,,,,,,Wie viel Wohngeld müssen Sie pro Monat entrichten?,
soep-is,soep-is-2011,Q29,0,0,,euros per month,,,int,,,,,,,68,,,,,,,,,Euro pro Monat,
soep-is,soep-is-2011,Q30,,0,,"Did you or someone in your household receive income from letting or leasing
land or house / flat in year 2010?",,q30,cat,,,,,,,69,51,54,,,,"",,,Hatten Sie oder jemand anderer in Ihrem Haushalt im Jahr 2010 Einnahmen aus Vermietung oder Verpachtung von Grund- oder Hausbesitz?,"Gemeint sind tatsächliche Einnahmen, nicht der steuerliche Wert für Eigennutzung."
soep-is,soep-is-2011,Q31,,0,,About how high was the total income from renting out or leasing out in year 2010?,,,txt,Q30;HVERM1=1,,,,,,70,53,56,,,,,,,Wie hoch waren die Gesamteinnahmen aus Vermietung und Verpachtung im Jahr 2010 ungefähr?,Bitte geben Sie den Bruttobetrag einschließlich Umlagezahlungen an.
soep-is,soep-is-2011,Q31,0,0,,euros in year 2010,,,int,,,,,,,71,,,,,,,,,Euro im Jahr 2010,
soep-is,soep-is-2011,Q32A,,0,,What costs did you have for the objects you rented out in the year 2010? Please state for maintenance and repair costs first.,,,txt,,,,,,,72,54,58,,,,,,,Welche Ausgaben für die vermieteten oder verpachteten Objekte standen dem im Jahr 2010 ungefähr gegenüber? Geben Sie bitte zunächst die Ausgaben für Betriebs- und Instandhaltungskosten an.,
soep-is,soep-is-2011,Q32A,0,0,,Maintenance and repair costs: euros in the year 2010,,,int,,,,,,,73,,,,,,,,,Betriebs- und Instandhaltungskosten: Euro im Jahr 2010,
soep-is,soep-is-2011,Q32B,,0,,"What loan, mortgage and interest payments did you needed to set aside for the objects you rented out in the year 2010?",,,txt,,,,,,,74,56,60,,,,,,,Welche  Tilgungszahlungen und Zinsen für Hypotheken oder Bauspardarlehen mussten Sie im Jahr 2010 für die vermieteten oder verpachteten Objekte aufbringen?,
soep-is,soep-is-2011,Q32B,0,0,,"Loan, mortgage and interest payments: euros in the year 2010",,,int,,,,,,,75,,,,,,,,,Tilgung und Zinsen: Euro im Jahr 2010,
soep-is,soep-is-2011,Q33,,0,,Are you or is someone else in your household currently paying back loans and interest for large purchases or other expenditures?,,q33,cat,,,,,,,76,58,61,,,,"",,,"Müssen Sie oder ein anderes Haushaltsmitglied derzeit Rückzahlungen und Zinsen für Kredite leisten, die Sie für Anschaffungen oder sonstige Ausgaben aufgenommen haben?","Nicht gemeint sind hier Tilgung und Zinsen für Hypotheken oder Bauspar-Darlehen, die Sie vorher schon angegeben haben."
soep-is,soep-is-2011,Q34,,0,,"How high is the monthly rate, including interests that you pay on these loans?",,,txt,Q33;HKRED1=1,,,,,,77,60,63,,,,,,,Wie hoch ist der monatliche Betrag der für die Rückzahlung dieser Kredite einschließlich Zinsen verwendet wird?,Falls nicht genau bekannt: bitte schätzen!
soep-is,soep-is-2011,Q34,0,0,,Loan repayment (include interest payments): euros per month,,,int,,,,,,,78,,,,,,,,,Kredit-Rückzahlung (einschließlich Zinsen): Euro pro Monat,
soep-is,soep-is-2011,Q35,,0,,Did you or another member of the household own any savings or investment securities in the year 2010?,,q35,cat,,,,,,,79,61,64,,,,"",,,Besaßen Sie oder andere Personen im Haushalt im Jahr 2010 eine oder mehrere Wertanlagen?,"Dazu zählen Sparbuch und Spargirokonto, Bausparverträge, Lebensversicherungen, festverzinsliche Wertpapiere wie Sparbriefe, Pfandbriefe und Bundesschatzbriefe, andere Wertpapiere wie Aktien, Fonds, Anleihen und Optionsscheine, aber auch Betriebsvermögen."
soep-is,soep-is-2011,Q36,,0,,"How high was your total income from interest, dividends and profits from all investments in the year 2010?",,,txt,Q35;HWA=1,,,,,,80,63,67,,,,,,,"Wie hoch waren, alles in allem, die Einnahmen aus Zinsen, Dividenden und Gewinnen aus allen Ihren Wertanlagen im Jahr 2010?",
soep-is,soep-is-2011,Q36,0,0,,In the year 2010: euros,,,int,,,,,,,81,,,,,,,,,im Jahr 2010: Euro,
soep-is,soep-is-2011,Q36,2,0,,I can not tell,,,bin,,,,,,,82,,,,,,"",,,Kann ich nicht sagen,
soep-is,soep-is-2011,Q37,,0,,Please estimate the exact amount according to the following categories,,q37,cat,Q36:HZINS1=2,,,,,,83,64,68,,,,"",,,Bitte schätzen Sie den Betrag anhand der folgenden Kategorien.,-> Liste 37 vorlegen
soep-is,soep-is-2011,Q38,,0,,Did you or one of the members of your household receive any of the following governmental benefits in the year 2010?,,,txt,,,,,,,84,67,70,,,,,,,Erhalten Sie oder ein anderes Haushaltsmitglied derzeit eine der folgenden staatlichen Leistungen?,-> Liste 38 vorlegen
soep-is,soep-is-2011,Q38,0,0,,"Housing allowance (Wohngeld oder Lastenzuschuss), if not included in unemployment benefit II / social assistance (Arbeitslosengeld II / der Sozialhilfe)",,q38,cat,,,,,,,91,,,,,,,,,"Wohngeld oder Lastenzuschuss, die nicht im Arbeitslosengeld II oder der Sozialhilfe enthalten ist",
soep-is,soep-is-2011,Q39,,0,,"How much are you or another household member currently receiving per month in child benefits (Kindergeld)? <wenn ""Kinderzuschlag"" in Vorfrage> Please do not include the supplementary child benefit (Kinderzuschlag).",,,txt,Q38:hdkg1=1,,,,,,92,68,72,,,,,,,Wie viel Kindergeld erhalten Sie oder ein anderes Haushaltsmitglied pro Monat? Den Kinderzuschlag zählen Sie hier bitte nicht dazu.,
soep-is,soep-is-2011,Q39,0,0,,Average amount per month: ...euros,,,int,,,,,,,93,,,,,,,,,Euro durchschnittlich pro Monat,
soep-is,soep-is-2011,Q40,,0,,And for how many children are you receiving child benefits (Kindergeld) for?,,,txt,Q38:hdkg1=1,,,,,,94,70,74,,,,,,,Und für wie viele Kinder erhalten Sie das Kindergeld?,
soep-is,soep-is-2011,Q40,0,0,,children,,,int,,,,,,,95,,,,,,,,,Kinder,
soep-is,soep-is-2011,Q41,,0,,How much are you or another household member currently receiving per month in supplementary child benefits (Kinderzuschlag) in addition to child benefits (Kindergeld)?,,,txt,Q38:hdkz1=1,,,,,,96,72,76,,,,,,,Wie viel Kinderzuschlag erhalten Sie oder ein anderes Haushaltsmitglied pro Monat zusätzlich zum Kindergeld ?,
soep-is,soep-is-2011,Q41,0,0,,Average amount per month: ...euros,,,int,,,,,,,97,,,,,,,,,Euro durchschnittlich pro Monat,
soep-is,soep-is-2011,Q42,,0,,"How much are you or another household member currently receiving per month in unemployment benefit II (Arbeitslosengeld II), including social benefit and accommodation expenses (Sozialgeld, Unterkunftskosten)?",,,txt,Q38:hdag1=1,,,,,,98,74,78,,,,,,,"Wie hoch ist der Betrag, den Sie oder ein anderes Haushaltsmitglied monatlich an Arbeitslosengeld II einschließlich Sozialgeld und Unterkunftskosten erhalten?",
soep-is,soep-is-2011,Q42,0,0,,Average amount per month: ...euros,,,int,,,,,,,99,,,,,,,,,Euro durchschnittlich pro Monat,
soep-is,soep-is-2011,Q43,,0,,How much are you or another household member currently receiving per month for long-term care insurance benefits (Leistungen der Pflegeversicherung)?,,,txt,Q38:hdpg1=1,,,,,,100,76,80,,,,,,,"Wie hoch ist der Betrag, den Sie oder ein anderes Haushaltsmitglied monatlich für Leistungen aus der Pflegeversicherung erhalten?",
soep-is,soep-is-2011,Q43,0,0,,Average amount per month: ...euros,,,int,,,,,,,101,,,,,,,,,Euro durchschnittlich pro Monat,
soep-is,soep-is-2011,Q44,,0,,What is the amount that you or another household member receive monthly as assistance for livelihood?,,,txt,Q38:hdsh1=1,,,,,,102,78,82,,,,,,,"Wie hoch ist der Betrag, den Sie oder ein anderes Haushaltsmitglied monatlich als Hilfe zum Lebensunterhalt erhalten?",
soep-is,soep-is-2011,Q44,0,0,,Average amount per month: ...euros,,,int,,,,,,,103,,,,,,,,,Euro durchschnittlich pro Monat,
soep-is,soep-is-2011,Q45,,0,,How much are you or another household member currently receiving per month in basic income support for the elderly / those with reduced earning capacity (Grundsicherung im Alter oder bei Erwerbsminderung)?,,,txt,Q38:hdgs1=1,,,,,,104,80,84,,,,,,,Wie viel Grundsicherung im Alter oder bei Erwerbsminderung erhalten Sie oder ein anderes Haushaltsmitglied pro Monat?,
soep-is,soep-is-2011,Q45,0,0,,Average amount per month: ...euros,,,int,,,,,,,105,,,,,,,,,Euro durchschnittlich pro Monat,
soep-is,soep-is-2011,Q46,,0,,How much housing allowance (Wohngeld oder Lastenzuschuss) are you or another household member currently receiving per month?,,,txt,Q38:hdwg1=1,,,,,,106,82,86,,,,,,,Wie viel Wohngeld oder Lastenzuschuss erhalten Sie oder ein anderes Haushaltsmitglied pro Monat?,
soep-is,soep-is-2011,Q46,0,0,,Average amount per month: ...euros,,,int,,,,,,,107,,,,,,,,,Euro durchschnittlich pro Monat,
soep-is,soep-is-2011,Q47,,0,,If you take a look at the total income from all members of the household: how high is the monthly household income today?,,,txt,,,,,,,108,84,88,,,,,,,Wenn man mal alle Einkünfte zusammennimmt: Wie hoch ist das monatliche Haushaltseinkommen aller Haushaltsmitglieder heute?,"Bitte geben Sie den monatlichen Netto-Betrag an, also nach Abzug von Steuern und Sozialabgaben. Regelmäßige Zahlungen wie Renten, Wohngeld, Kindergeld, BAföG, Unterhaltszahlungen usw. rechnen Sie bitte dazu!
Falls nicht genau bekannt: Bitte schätzen Sie den monatlichen Betrag."
soep-is,soep-is-2011,Q47,0,0,,euros per month,,,int,,,,,,,109,,,,,,,,,Euro im Monat,
soep-is,soep-is-2011,Q47N1,,0,,Is your household income...,,znettox1,cat,Q47:HNETTO=2,,,,,,110,86,89,,,,"",,,Ist Ihr Haushaltseinkommen ...,
soep-is,soep-is-2011,Q47N2,,0,,Is your household income...,,znettox2,cat,Q47N1;ZNETTOX1=1,,,,,,111,88,90,,,,"",,,Ist Ihr Haushaltseinkommen ...,
soep-is,soep-is-2011,Q47N3,,0,,Is your household income...,,znettox3,cat,Q47N1;ZNETTOX1=2,,,,,,112,89,91,,,,"",,,Ist Ihr Haushaltseinkommen ...,
soep-is,soep-is-2011,Q47N4,,0,,Is your household income...,,znettox4,cat,Q47N3;ZNETTOX3=2,,,,,,113,90,92,,,,"",,,Ist Ihr Haushaltseinkommen ...,
soep-is,soep-is-2011,Q47N5,,0,,Is your household income...,,znettox5,cat,Q47N4;ZNETTOX4=2 ,,,,,,114,91,93,,,,"",,,Ist Ihr Haushaltseinkommen ...,
soep-is,soep-is-2011,Q48,,0,,"Do you usually have an amount of money left over at the end of the month that you can
save for larger purchases, emergency expenses or to acquire wealth? If yes, how much?",,q48,cat,,,,,,,115,92,94,,,,"",,,"Bleibt Ihnen in der Regel monatlich ein gewisser Betrag übrig, den Sie sparen oder zurücklegen können, etwa für größere Anschaffungen, für Notlagen oder zur Vermögensbildung? Wenn ja, welcher Betrag etwa?",
soep-is,soep-is-2011,Q48.1,,0,,What amount?,,,txt,,,,,,,116,93,96,,,,,,,Welcher Betrag etwa?,
soep-is,soep-is-2011,Q48.1,0,0,,About … euros per month,,,int,,,,,,,117,,,,,,,,,Etwa Euro im Monat,
soep-is,soep-is-2011,Q49,,0,,"Does someone in your household need care or assistance on a constant basis due to age, sickness or medical treatment?",,q49,cat,,,,,,,118,94,97,,,,"",,,"Gibt es in Ihrem Haushalt jemand, der aus Alters- oder Krankheitsgründen oder wegen einer Behinderung dauernd hilfe- oder pflegebedürftig ist?",
soep-is,soep-is-2011,Q50,,0,,"Does the person in need of care receive long-term care insurance benefits (Pflegeversicherung), and if so, at what care level (Pflegestufe)?",,q50,cat,Q49:HPFLEG=1,,,,,,119,96,98,,,,"",,,"Erhält die hilfebedürftige Person Leistungen aus der Pflegeversicherung, und wenn ja, für welche Pflegestufe?",
soep-is,soep-is-2011,Q51,,0,,Now we have a few question about you personally.,,,txt,,,,,,,120,97,99,,,,,,,Nun haben wir ein paar Fragen zu Ihrer Person.,
soep-is,soep-is-2011,Q52,,0,,first of all its is about your satisfaction with different areas in your life. How satisfied are you right now with the following areas of your life? How satisfied are you …,,,txt,,,,,,,121,98,101,,,,,,,Zunächst geht es um Ihre Zufriedenheit mit bestimmten Bereichen Ihres Lebens. Wie zufrieden sind Sie gegenwärtig mit den folgenden Bereichen Ihres Lebens? Wie zufrieden sind Sie …,"-> Liste 52 vorlegen. Bitte geben Sie für jeden Bereich den Grad Ihrer Zufriedenheit an: Wenn Sie ganz und gar unzufrieden sind, den Wert """"0"""",
wenn Sie ganz und gar zufrieden sind, den Wert """"10"""". Wenn Sie teils zufrieden/teils unzufrieden sind, einen Wert dazwischen. -> TNZ trifft nicht zu"
soep-is,soep-is-2011,Q52,0,0,,with your family life?,,q52,cat,,,,,,,129,,,,,,,,,mit Ihrem Familienleben?,
soep-is,soep-is-2011,Q53,,0,,"Thinking back on the last four weeks, please state how often you have experienced each of the following feelings very rarely, rarely, occasionally, often, or very often. How often have you felt...",,,txt,,,,,,,130,99,103,,,,,,,"Bitte denken Sie an die letzten vier Wochen und sagen mir zu jedem der folgenden Gefühle, ob Sie dieses sehr selten, selten, manchmal, oft oder sehr oft erlebt haben. 
Wie oft haben Sie sich …",-> Liste 53 vorlegen
soep-is,soep-is-2011,Q53,0,0,,...sad?,,q53,cat,,,,,,,134,,,,,,,,,...traurig gefühlt?,
soep-is,soep-is-2011,Q54,,0,,How do you see yourself: Are you generally a person who is fully prepared to take risks or do you try to avoid taking risks?,,q54,cat,,,,,,,135,101,104,,,,"",,,"Wie schätzen Sie sich persönlich ein: Sind Sie im Allgemeinen ein risikobereiter Mensch oder versuchen Sie, Risiken zu vermeiden?","-> Liste 54 vorlegen 
Antworten Sie bitte anhand der folgenden Skala. Der Wert 0 bedeutet: gar nicht risikobereit. Der Wert 10 bedeutet: sehr risikobereit. Mit den Werten dazwischen können Sie Ihre Einschätzung abstufen."
