study,questionnaire,concept,question,item,number,text_de,text,instruction_de,instruction,answer_list,scale,filter,goto,label,description,dummy,meta,view_sort_id,view_lft,view_rgt,view_import_note,view_import_concept,view_import_type,view_first_concept,view_calculated_number,,,label_de,,,,,
soep-is,soep-is-2011,hh10,Q17,hh10,Q17,"Ich esse mindestens alle zwei Tage eine warme Mahlzeit mit Fleisch, Fisch oder Geflügel","II eat a hot meal with meat, fish, or poultry at least every other day",,,q1701,cat,,,,,,,35,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh04,Q17,hh04,Q17,"Abgenutzte Möbel, auch wenn sie noch funktionsfähig sind, werden durch neue ersetzt",Furniture which is worn out but can still be used is replaced by new furniture,,,q1701,cat,,,,,,,36,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh01a,Q17a,,Q17a,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt einen Farbfernseher im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,"In the previous question you indicated NO for ""The household has a color television"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH01=2,,,,,,37,8658,8671,,,,,,,,,,,,,
soep-is,soep-is-2011,hh02a,Q17b,,Q17b,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt ein Telefon im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,"In the previous question you indicated NO for ""The household has a telephone"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH02=2,,,,,,38,8670,8672,,,,,,,,,,,,,
soep-is,soep-is-2011,hh11a,Q17c,,Q17c,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt einen Internet-Anschluss im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,"In the previous question you indicated NO for ""The household has an internet access"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH11=2,,,,,,39,8672,8674,,,,,,,,,,,,,
soep-is,soep-is-2011,hh03a,Q17d,,Q17d,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt ein Auto im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,"In the previous question you indicated NO for ""The household has a car"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH03=2,,,,,,40,8679,8681,,,,,,,,,,,,,
soep-is,soep-is-2011,hh05a,Q17e,,Q17e,"Bei der vorherigen Frage haben Sie bei dem Punkt „Die Wohnung liegt in einem Haus, das in einem guten Zustand ist“ NEIN angegeben. Hat das finanzielle oder andere Gründe?","In the previous question you indicated NO for ""The flat is located in a building which is in good condition"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH05=2,,,,,,41,8673,8675,,,,,,,,,,,,,
soep-is,soep-is-2011,hh06a,Q17f,,Q17f,Bei der vorherigen Frage haben Sie bei dem Punkt „Das Haus liegt in einer guten Wohngegend“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,"In the previous question you indicated NO for ""The building is located in a good neighborhood"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH06=2,,,,,,42,8674,8676,,,,,,,,,,,,,
soep-is,soep-is-2011,hh07a,Q17g,,Q17g,Bei der vorherigen Frage haben Sie bei dem Punkt „Ich habe finanzielle Rücklagen für Notfälle“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,"In the previous question you indicated NO for ""I have put some money aside for emergencies"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH07=2,,,,,,43,8675,8677,,,,,,,,,,,,,
soep-is,soep-is-2011,hh08a,Q17h,,Q17h,Bei der vorherigen Frage haben Sie bei dem Punkt „Ich mache jedes Jahr eine mindestens einwöchige Urlaubsreise NEIN angegeben. Hat das finanzielle oder andere Gründe?,"In the previous question you indicated NO for ""I take a vacation away from home for at least one week every year"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH08=2,,,,,,44,8676,8678,,,,,,,,,,,,,
soep-is,soep-is-2011,hh09a,Q17i,,Q17i,Bei der vorherigen Frage haben Sie bei dem Punkt „Ich lade mindestens einmal im Monat Freunde zum Essen zu mir ein NEIN angegeben. Hat das finanzielle oder andere Gründe?,"In the previous question you indicated NO for ""I invite friends over for dinner at least once a month"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH09=2,,,,,,45,8677,8679,,,,,,,,,,,,,
soep-is,soep-is-2011,hh10a,Q17j,,Q17j,"Bei der vorherigen Frage haben Sie bei dem Punkt „Ich esse mindestens alle zwei Tage eine warme Mahlzeit mit Fleisch, Fisch oder Geflügel NEIN angegeben. Hat das finanzielle oder andere Gründe?","In the previous question you indicated NO for ""II eat a hot meal with meat, fish, or poultry at least every other day"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH10=2,,,,,,46,8678,8680,,,,,,,,,,,,,
soep-is,soep-is-2011,hh04a,Q17k,,Q17k,"Bei der vorherigen Frage haben Sie bei dem Punkt „Abgenutzte Möbel, auch wenn sie noch funktionsfähig sind, werden durch neue ersetzt NEIN angegeben. Hat das finanzielle oder andere Gründe?","In the previous question you indicated NO for ""Furniture which is worn out but can still be used is replaced by new furniture"". Is it for financial or other reasons?",,,q1702,cat,Q17:HH04=2,,,,,,47,8671,8673,,,,,,,,,,,,,
soep-is,soep-is-2011,hm01,Q18,,Q18,Bewohnen Sie diese Wohnung als …,Do you live in the flat as …?,,,q18,cat,,,,,,,48,8680,8682,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q19,,Q19,Wie hoch ist derzeit die monatliche Miete?,What is your monthly rent?,,,,txt,"Q18;HM01=1,2",,,,,,49,8681,8685,,,,,,,,,,,,,
soep-is,soep-is-2011,hm04,Q19,hm04,Q19,Euro,Euros,,,,int,,,,,,,50,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hm05,Q19,hm05,Q19,Zahle keine Miete,I don't pay rent,,,,bin,,,,,,,51,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hm06,Q20,,Q20,Sind die Heizkosten im Mietpreis enthalten?,Is heat included in your rent?,In der Regel ist in den Heizkosten das Warmwasser enthalten,,q20,cat,Q19:HM04=1,,,,,,52,8682,8686,,,,,,,,,,,,,
soep-is,soep-is-2011,hm09,Q21,,Q21,"Sind in dem Mietpreis andere Umlagen, z.B. für Wasser oder Müllabfuhr, teilweise oder ganz enthalten?","Are other costs  included in your rent, either partially or completely, for example, water, garbage removal, etc.?",,,q21,cat,Q19:HM04=1,,,,,,53,8685,8687,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q22,,Q22,Und in welcher Höhe sind diese Umlagen im Mietpreis enthalten?,And to what extent are these contributions included in the rent?,,,,txt,"Q21;HM09=1,2",,,,,,54,8686,8690,,,,,,,,,,,,,
soep-is,soep-is-2011,hm10,Q22,hm10,Q22,Euro im Monat,Euro per month,,,,int,,,,,,,55,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hm11,Q22,hm11,Q22,weiß nicht,don't know,,,,bin,,,,,,,56,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hzahl,Q23,,Q23,Können Sie die Miete für Ihre Wohnung ohne Probleme zahlen?,Are you able to pay the rent without any difficulty?,,,q23,cat,"Q19:HM04=1,9",,,,,,57,8687,8691,,,,,,,,,,,,,
soep-is,soep-is-2011,he01,Q24,,Q24,Haben Sie für diese selbstgenutzte Wohnung beziehungsweise dieses selbstgenutzte Haus noch finanzielle Belastungen aus der Abzahlung von Hypotheken oder Bauspardarlehen?,"Do you still have financial obligations, for example loans or a mortgage, for this house or flat in which you live?",,,q24,cat,Q18;HM01=3,,,,,,58,8690,8692,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q25,,Q25,"Wie hoch ist der monatliche Betrag für Tilgung und Zinsen, den Sie für dieses Darlehen zu leisten haben?",How high are the monthly loan or mortgage payments including interest for this loan or mortgage?,Falls Betrag nicht genau bekannt: bitte schätzen!,,,txt,Q24;HE01=1,,,,,,59,8691,8694,,,,,,,,,,,,,
soep-is,soep-is-2011,he02,Q25,he02,Q25,Tilgung und Zinsen: Euro pro Monat,Loan or mortgage payments and interest: euros per month,,,,int,,,,,,,60,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hzahl1,Q25b,,Q25b,Können Sie die Tilgung beziehungsweise Zinsen für Ihr Wohnungseigentum ohne Probleme zahlen?,Are you able to pay the mortgage/interest payments without any difficulty?,,,q2502,cat,Q18;HM01=3,,,,,,61,8692,8695,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q26,,Q26,"Wie hoch waren die Instandhaltungskosten für diese Wohnung beziehungsweise dieses Haus, die Ihnen im Jahr 2010 entstanden sind?","How high were the maintenance costs for this flat / house in the last calendar year, 2010?",Falls Betrag nicht genau bekannt: bitte schätzen!,,,txt,Q18;HM01=3,,,,,,62,8694,8697,,,,,,,,,,,,,
soep-is,soep-is-2011,he03,Q26,he03,Q26,Euro im Jahr,euros per year,,,,int,,,,,,,63,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q27,,Q27,"Und wie hoch waren 2010 die Kosten für Wasser, Müllabfuhr, Straßenreinigung usw.?","And what were the costs of water, garbage removal, street cleaning, etc. in 2010?",Falls Betrag nicht genau bekannt: bitte schätzen!,,,txt,Q18;HM01=3,,,,,,64,8695,8699,,,,,,,,,,,,,
soep-is,soep-is-2011,he05,Q27,he05,Q27,Euro im Jahr,euros per year,,,,int,,,,,,,65,,,,,,,,,,,,,,,
soep-is,soep-is-2011,he06,Q28,,Q28,"Zahlen Sie Wohngeld, also Umlagekosten für die Hausverwaltung usw.?",Do you pay fees for the management or maintenance etc. of the building?,,,q28,cat,Q18;HM01=3,,,,,,66,8697,8700,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q29,,Q29,Wie viel Wohngeld müssen Sie pro Monat entrichten?,How much do you pay per month in management / maintenance fees?,,,,txt,Q28;HE06=1,,,,,,67,8699,8702,,,,,,,,,,,,,
soep-is,soep-is-2011,he07,Q29,he07,Q29,Euro pro Monat,euros per month,,,,int,,,,,,,68,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hverm1,Q30,,Q30,Hatten Sie oder jemand anderer in Ihrem Haushalt im Jahr 2010 Einnahmen aus Vermietung oder Verpachtung von Grund- oder Hausbesitz?,"Did you or someone in your household receive income from letting or leasing
land or house / flat in year 2010?","Gemeint sind tatsächliche Einnahmen, nicht der steuerliche Wert für Eigennutzung.",,q30,cat,,,,,,,69,8700,8703,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q31,,Q31,Wie hoch waren die Gesamteinnahmen aus Vermietung und Verpachtung im Jahr 2010 ungefähr?,About how high was the total income from renting out or leasing out in year 2010?,Bitte geben Sie den Bruttobetrag einschließlich Umlagezahlungen an.,,,txt,Q30;HVERM1=1,,,,,,70,8702,8705,,,,,,,,,,,,,
soep-is,soep-is-2011,hverm2,Q31,hverm2,Q31,Euro im Jahr 2010,euros in year 2010,,,,int,,,,,,,71,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q32A,,Q32A,Welche Ausgaben für die vermieteten oder verpachteten Objekte standen dem im Jahr 2010 ungefähr gegenüber? Geben Sie bitte zunächst die Ausgaben für Betriebs- und Instandhaltungskosten an.,What costs did you have for the objects you rented out in the year 2010? Please state for maintenance and repair costs first.,,,,txt,,,,,,,72,8703,8707,,,,,,,,,,,,,
soep-is,soep-is-2011,hverm3,Q32A,hverm3,Q32A,Betriebs- und Instandhaltungskosten: Euro im Jahr 2010,Maintenance and repair costs: euros in the year 2010,,,,int,,,,,,,73,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q32B,,Q32B,Welche  Tilgungszahlungen und Zinsen für Hypotheken oder Bauspardarlehen mussten Sie im Jahr 2010 für die vermieteten oder verpachteten Objekte aufbringen?,"What loan, mortgage and interest payments did you needed to set aside for the objects you rented out in the year 2010?",,,,txt,,,,,,,74,8705,8709,,,,,,,,,,,,,
soep-is,soep-is-2011,hverm4,Q32B,hverm4,Q32B,Tilgung und Zinsen: Euro im Jahr 2010,"Loan, mortgage and interest payments: euros in the year 2010",,,,int,,,,,,,75,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hkred1,Q33,,Q33,"Müssen Sie oder ein anderes Haushaltsmitglied derzeit Rückzahlungen und Zinsen für Kredite leisten, die Sie für Anschaffungen oder sonstige Ausgaben aufgenommen haben?",Are you or is someone else in your household currently paying back loans and interest for large purchases or other expenditures?,"Nicht gemeint sind hier Tilgung und Zinsen für Hypotheken oder Bauspar-Darlehen, die Sie vorher schon angegeben haben.",,q33,cat,,,,,,,76,8707,8710,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q34,,Q34,Wie hoch ist der monatliche Betrag der für die Rückzahlung dieser Kredite einschließlich Zinsen verwendet wird?,"How high is the monthly rate, including interests that you pay on these loans?",Falls nicht genau bekannt: bitte schätzen!,,,txt,Q33;HKRED1=1,,,,,,77,8709,8712,,,,,,,,,,,,,
soep-is,soep-is-2011,hkred2,Q34,hkred2,Q34,Kredit-Rückzahlung (einschließlich Zinsen): Euro pro Monat,Loan repayment (include interest payments): euros per month,,,,int,,,,,,,78,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hwa,Q35,,Q35,Besaßen Sie oder andere Personen im Haushalt im Jahr 2010 eine oder mehrere Wertanlagen?,Did you or another member of the household own any savings or investment securities in the year 2010?,"Dazu zählen Sparbuch und Spargirokonto, Bausparverträge, Lebensversicherungen, festverzinsliche Wertpapiere wie Sparbriefe, Pfandbriefe und Bundesschatzbriefe, andere Wertpapiere wie Aktien, Fonds, Anleihen und Optionsscheine, aber auch Betriebsvermögen.",,q35,cat,,,,,,,79,8710,8713,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q36,,Q36,"Wie hoch waren, alles in allem, die Einnahmen aus Zinsen, Dividenden und Gewinnen aus allen Ihren Wertanlagen im Jahr 2010?","How high was your total income from interest, dividends and profits from all investments in the year 2010?",,,,txt,Q35;HWA=1,,,,,,80,8712,8716,,,,,,,,,,,,,
soep-is,soep-is-2011,hzins1,Q36,hzins1,Q36,im Jahr 2010: Euro,In the year 2010: euros,,,,int,,,,,,,81,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q36,2,Q36,Kann ich nicht sagen,I can not tell,,,,bin,,,,,,,82,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hzins2,Q37,,Q37,Bitte schätzen Sie den Betrag anhand der folgenden Kategorien.,Please estimate the exact amount according to the following categories,Liste 37 vorlegen,,q37,cat,Q36:HZINS1=2,,,,,,83,8713,8717,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q38,,Q38,Erhalten Sie oder ein anderes Haushaltsmitglied derzeit eine der folgenden staatlichen Leistungen?,Did you or one of the members of your household receive any of the following governmental benefits in the year 2010?,Liste 38 vorlegen,,,txt,,,,,,,84,8716,8725,,,,,,,,,,,,,
soep-is,soep-is-2011,hdkg1,Q38,hdkg1,Q38,Kindergeld,Child benefit (Kindergeld),,,q38,cat,,,,,,,85,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hdkz1,Q38,hdkz1,Q38,"Kinderzuschlag, also zusätzlich zum Kindergeld beantragte Leistung für Geringverdiener","Supplementary child benefit (""Kinderzuschlag"" which is paid to low-income earners in addition to the child allowance, ""Kindergeld"")",,,q38,cat,,,,,,,86,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hdag1,Q38,hdag1,Q38,Arbeitslosengeld II einschließlich Sozialgeld und Unterkunftskosten,"Unemployment benefit II including social benefit and costs of housing (""Arbeitslosengeld II einschließlich Sozialgeld und Unterkunftskosten"")",,,q38,cat,,,,,,,87,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hdpg1,Q38,hdpg1,Q38,Leistungen der Pflegeversicherung,"Support for care of sick family members (""Leistungen der Pflegeversicherung"")",,,q38,cat,,,,,,,88,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hdsh1,Q38,hdsh1,Q38,Laufende Hilfe zum Lebensunterhalt oder Hilfe in besonderen Lebenslagen,"Regular support for living costs /
Support for special situations (""Laufende Hilfe zum Lebensunterhalt / Hilfe in besonderen Lebenslagen"")",,,q38,cat,,,,,,,89,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hdgs1,Q38,hdgs1,Q38,Grundsicherung im Alter und bei Erwerbsminderung,Basic income support for the elderly / those with reduced earning capacity (Grundsicherung im Alter und bei Erwerbsminderung),,,q38,cat,,,,,,,90,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hdwg1,Q38,hdwg1,Q38,"Wohngeld oder Lastenzuschuss, die nicht im Arbeitslosengeld II oder der Sozialhilfe enthalten ist","Housing allowance (Wohngeld oder Lastenzuschuss), if not included in unemployment benefit II / social assistance (Arbeitslosengeld II / der Sozialhilfe)",,,q38,cat,,,,,,,91,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q39,,Q39,Wie viel Kindergeld erhalten Sie oder ein anderes Haushaltsmitglied pro Monat? Den Kinderzuschlag zählen Sie hier bitte nicht dazu.,"How much are you or another household member currently receiving per month in child benefits (Kindergeld)? <wenn ""Kinderzuschlag"" in Vorfrage> Please do not include the supplementary child benefit (Kinderzuschlag).",,,,txt,Q38:hdkg1=1,,,,,,92,8717,8727,,,,,,,,,,,,,
soep-is,soep-is-2011,hdkg2,Q39,hdkg2,Q39,Euro durchschnittlich pro Monat,Average amount per month: ...euros,,,,int,,,,,,,93,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q40,,Q40,Und für wie viele Kinder erhalten Sie das Kindergeld?,And for how many children are you receiving child benefits (Kindergeld) for?,,,,txt,Q38:hdkg1=1,,,,,,94,8725,8729,,,,,,,,,,,,,
soep-is,soep-is-2011,hdkg3,Q40,hdkg3,Q40,Kinder,children,,,,int,,,,,,,95,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q41,,Q41,Wie viel Kinderzuschlag erhalten Sie oder ein anderes Haushaltsmitglied pro Monat zusätzlich zum Kindergeld ?,How much are you or another household member currently receiving per month in supplementary child benefits (Kinderzuschlag) in addition to child benefits (Kindergeld)?,,,,txt,Q38:hdkz1=1,,,,,,96,8727,8731,,,,,,,,,,,,,
soep-is,soep-is-2011,hdkz2,Q41,hdkz2,Q41,Euro durchschnittlich pro Monat,Average amount per month: ...euros,,,,int,,,,,,,97,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q42,,Q42,"Wie hoch ist der Betrag, den Sie oder ein anderes Haushaltsmitglied monatlich an Arbeitslosengeld II einschließlich Sozialgeld und Unterkunftskosten erhalten?","How much are you or another household member currently receiving per month in unemployment benefit II (Arbeitslosengeld II), including social benefit and accommodation expenses (Sozialgeld, Unterkunftskosten)?",,,,txt,Q38:hdag1=1,,,,,,98,8729,8733,,,,,,,,,,,,,
soep-is,soep-is-2011,hdag2,Q42,hdag2,Q42,Euro durchschnittlich pro Monat,Average amount per month: ...euros,,,,int,,,,,,,99,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q43,,Q43,"Wie hoch ist der Betrag, den Sie oder ein anderes Haushaltsmitglied monatlich für Leistungen aus der Pflegeversicherung erhalten?",How much are you or another household member currently receiving per month for long-term care insurance benefits (Leistungen der Pflegeversicherung)?,,,,txt,Q38:hdpg1=1,,,,,,100,8731,8735,,,,,,,,,,,,,
soep-is,soep-is-2011,hdpg2,Q43,hdpg2,Q43,Euro durchschnittlich pro Monat,Average amount per month: ...euros,,,,int,,,,,,,101,,,,,,,,,,,,,,,
