output_study,output_dataset,output_version,output_variable,input_study,input_dataset,input_version,input_variable,,,
soep-is,is_hl,v1,HLF0237,soep-core,bah,v29,bah7112a,,,
soep-is,is_hl,v1,HLF0214,soep-core,bah,v29,bah7103,,,
soep-is,is_hl,v1,HLF0215,soep-core,bah,v29,bah7103a,,,
soep-is,is_hl,v1,HLF0217,soep-core,bah,v29,bah7104,,,
soep-is,is_hl,v1,HLF0218,soep-core,bah,v29,bah7104a,,,
soep-is,is_hl,v1,HLF0159,soep-core,bah,v29,bah7106,,,
soep-is,is_hl,v1,HLF0223,soep-core,bah,v29,bah7106a,,,
soep-is,is_hl,v1,HLF0239,soep-core,bah,v29,bah7115,,,
soep-is,is_hl,v1,HLF0240,soep-core,bah,v29,bah7115a,,,
soep-is,is_hl,v1,HLF0247,soep-core,bah,v29,bah7118,,,
soep-is,is_hl,v1,HLF0248,soep-core,bah,v29,bah7118a,,,
soep-is,is_hl,v1,HLF0241,soep-core,bah,v29,bah7116,,,
soep-is,is_hl,v1,HLF0242,soep-core,bah,v29,bah7116a,,,
soep-is,is_hl,v1,HLF0244,soep-core,bah,v29,bah7117,,,
soep-is,is_hl,v1,HLF0245,soep-core,bah,v29,bah7117a,,,
soep-is,is_hl,v1,HLF0001,soep-core,zh,v29,zh20,,,
soep-is,is_hl,v1,HLF0001,soep-core,bah,v29,bah20,,,
soep-is,is_hl,v1,HLF0001,soep-is,h_11,v1,ishm01,,,
soep-is,is_hl,v1,HLF0163,soep-core,bah,v29,bah7101,,,
soep-is,is_hl,v1,HLF0209,soep-core,bah,v29,bah7101a,,,
soep-is,is_hl,v1,HLF0164,soep-core,bah,v29,bah7102,,,
soep-is,is_hl,v1,HLF0212,soep-core,bah,v29,bah7102a,,,
soep-is,is_hl,v1,HLC0059,soep-core,zh,v29,zh5003,,,
soep-is,is_hl,v1,HLC0059,soep-core,bah,v29,bah4915,,,
soep-is,is_hl,v1,HLC0060,soep-core,zh,v29,zh5009,,,
soep-is,is_hl,v1,HLF0105,soep-core,zh,v29,zh01,,,
soep-is,is_hl,v1,HLF0105,soep-core,bah,v29,bah01,,,
soep-is,is_hl,v1,HLF0105,soep-is,h_11,v1,ishvj,,,
soep-is,is_hl,v1,HLF0006,soep-core,zh,v29,zh18,,,
soep-is,is_hl,v1,HLF0006,soep-core,bah,v29,bah18,,,
soep-is,is_hl,v1,HLF0009,soep-core,zh,v29,zh1903,,,
soep-is,is_hl,v1,HLF0009,soep-core,bah,v29,bah1903,,,
soep-is,is_hl,v1,HLF0007,soep-core,zh,v29,zh1902,,,
soep-is,is_hl,v1,HLF0007,soep-core,bah,v29,bah1902,,,
soep-is,is_hl,v1,HLF0018,soep-core,zh,v29,zh09,,,
soep-is,is_hl,v1,HLF0018,soep-core,bah,v29,bah09,,,
soep-is,is_hl,v1,HLF0106,soep-core,zh,v29,zh0401,,,
soep-is,is_hl,v1,HLF0106,soep-core,bah,v29,bah0401,,,
soep-is,is_hl,v1,HLF0106,soep-is,h_11,v1,ishwm,,,
soep-is,is_hl,v1,HLF0107,soep-core,zh,v29,zh0402,,,
soep-is,is_hl,v1,HLF0107,soep-core,bah,v29,bah0402,,,
soep-is,is_hl,v1,HLF0107,soep-is,h_11,v1,ishwj,,,
soep-is,is_hl,v1,HLF0154,soep-core,zh,v29,zh06,,,
soep-is,is_hl,v1,HLF0154,soep-core,bah,v29,bah06,,,
soep-is,is_hl,v1,HLF0154,soep-is,h_11,v1,ishhtyp,,,
soep-is,is_hl,v1,HLF0155,soep-core,zh,v29,zh07,,,
soep-is,is_hl,v1,HLF0155,soep-core,bah,v29,bah07,,,
soep-is,is_hl,v1,HLF0155,soep-is,h_11,v1,ishheim,,,
soep-is,is_hl,v1,HLF0109,soep-core,zh,v29,zh0201,,,
soep-is,is_hl,v1,HLF0109,soep-core,bah,v29,bah0201,,,
soep-is,is_hl,v1,HLF0110,soep-core,zh,v29,zh0202,,,
soep-is,is_hl,v1,HLF0110,soep-core,bah,v29,bah0202,,,
soep-is,is_hl,v1,HLF0111,soep-core,zh,v29,zh0203,,,
soep-is,is_hl,v1,HLF0111,soep-core,bah,v29,bah0203,,,
soep-is,is_hl,v1,HLF0112,soep-core,zh,v29,zh0204,,,
soep-is,is_hl,v1,HLF0112,soep-core,bah,v29,bah0204,,,
soep-is,is_hl,v1,HLF0113,soep-core,zh,v29,zh0205,,,
soep-is,is_hl,v1,HLF0113,soep-core,bah,v29,bah0205,,,
soep-is,is_hl,v1,HLF0114,soep-core,zh,v29,zh0206,,,
soep-is,is_hl,v1,HLF0114,soep-core,bah,v29,bah0206,,,
soep-is,is_hl,v1,HLF0115,soep-core,zh,v29,zh0207,,,
soep-is,is_hl,v1,HLF0115,soep-core,bah,v29,bah0207,,,
soep-is,is_hl,v1,HLF0116,soep-core,zh,v29,zh0208,,,
soep-is,is_hl,v1,HLF0116,soep-core,bah,v29,bah0208,,,
soep-is,is_hl,v1,HLF0117,soep-core,zh,v29,zh0209,,,
soep-is,is_hl,v1,HLF0117,soep-core,bah,v29,bah0209,,,
soep-is,is_hl,v1,HLF0118,soep-core,zh,v29,zh0210,,,
soep-is,is_hl,v1,HLF0118,soep-core,bah,v29,bah0210,,,
soep-is,is_hl,v1,HLF0119,soep-core,zh,v29,zh0211,,,
soep-is,is_hl,v1,HLF0119,soep-core,bah,v29,bah0211,,,
soep-is,is_hl,v1,HLF0120,soep-core,zh,v29,zh0212,,,
soep-is,is_hl,v1,HLF0120,soep-core,bah,v29,bah0212,,,
soep-is,is_hl,v1,HLF0121,soep-core,zh,v29,zh0213,,,
soep-is,is_hl,v1,HLF0121,soep-core,bah,v29,bah0213,,,
soep-is,is_hl,v1,HLF0122,soep-core,zh,v29,zh0215,,,
soep-is,is_hl,v1,HLF0122,soep-core,bah,v29,bah0215,,,
soep-is,is_hl,v1,HLF0123,soep-core,zh,v29,zh0217,,,
soep-is,is_hl,v1,HLF0123,soep-core,bah,v29,bah0217,,,
soep-is,is_hl,v1,HLF0126,soep-core,zh,v29,zh0301,,,
soep-is,is_hl,v1,HLF0126,soep-core,bah,v29,bah0301,,,
soep-is,is_hl,v1,HLF0127,soep-core,zh,v29,zh0302,,,
soep-is,is_hl,v1,HLF0127,soep-core,bah,v29,bah0302,,,
soep-is,is_hl,v1,HLF0128,soep-core,zh,v29,zh0303,,,
soep-is,is_hl,v1,HLF0128,soep-core,bah,v29,bah0303,,,
soep-is,is_hl,v1,HLF0129,soep-core,zh,v29,zh0304,,,
soep-is,is_hl,v1,HLF0129,soep-core,bah,v29,bah0304,,,
soep-is,is_hl,v1,HLF0130,soep-core,zh,v29,zh0305,,,
soep-is,is_hl,v1,HLF0130,soep-core,bah,v29,bah0305,,,
soep-is,is_hl,v1,HLF0131,soep-core,zh,v29,zh0306,,,
soep-is,is_hl,v1,HLF0131,soep-core,bah,v29,bah0306,,,
soep-is,is_hl,v1,HLF0132,soep-core,zh,v29,zh0307,,,
soep-is,is_hl,v1,HLF0132,soep-core,bah,v29,bah0307,,,
soep-is,is_hl,v1,HLF0153,soep-core,zh,v29,zh05,,,
soep-is,is_hl,v1,HLF0153,soep-core,bah,v29,bah05,,,
soep-is,is_hl,v1,HLF0153,soep-is,h_11,v1,ishwohn08,,,
soep-is,is_hl,v1,HLF0016,soep-core,zh,v29,zh0801,,,
soep-is,is_hl,v1,HLF0016,soep-core,bah,v29,bah0801,,,
soep-is,is_hl,v1,HLF0016,soep-is,h_11,v1,ishwohn09,,,
soep-is,is_hl,v1,HLF0024,soep-core,zh,v29,zh1401,,,
soep-is,is_hl,v1,HLF0024,soep-core,bah,v29,bah1401,,,
soep-is,is_hl,v1,HLF0025,soep-core,zh,v29,zh1402,,,
soep-is,is_hl,v1,HLF0025,soep-core,bah,v29,bah1402,,,
soep-is,is_hl,v1,HLF0026,soep-core,zh,v29,zh1403,,,
soep-is,is_hl,v1,HLF0026,soep-core,bah,v29,bah1403,,,
soep-is,is_hl,v1,HLF0028,soep-core,zh,v29,zh1404,,,
soep-is,is_hl,v1,HLF0028,soep-core,bah,v29,bah1404,,,
soep-is,is_hl,v1,HLF0030,soep-core,zh,v29,zh1406,,,
soep-is,is_hl,v1,HLF0030,soep-core,bah,v29,bah1406,,,
soep-is,is_hl,v1,HLF0031,soep-core,zh,v29,zh1407,,,
soep-is,is_hl,v1,HLF0031,soep-core,bah,v29,bah1407,,,
soep-is,is_hl,v1,HLF0032,soep-core,zh,v29,zh1408,,,
soep-is,is_hl,v1,HLF0032,soep-core,bah,v29,bah1408,,,
soep-is,is_hl,v1,HLF0059,soep-core,zh,v29,zh13,,,
soep-is,is_hl,v1,HLF0059,soep-core,bah,v29,bah13,,,
soep-is,is_hl,v1,HLF0059,soep-is,h_11,v1,ishzus,,,
soep-is,is_hl,v1,HLF0049,soep-core,zh,v29,zh1501,,,
soep-is,is_hl,v1,HLF0049,soep-core,bah,v29,bah1501,,,
soep-is,is_hl,v1,HLF0050,soep-core,zh,v29,zh1502,,,
soep-is,is_hl,v1,HLF0050,soep-core,bah,v29,bah1502,,,
soep-is,is_hl,v1,HLF0051,soep-core,zh,v29,zh1503,,,
soep-is,is_hl,v1,HLF0051,soep-core,bah,v29,bah1503,,,
soep-is,is_hl,v1,HLF0052,soep-core,zh,v29,zh1504,,,
soep-is,is_hl,v1,HLF0052,soep-core,bah,v29,bah1504,,,
soep-is,is_hl,v1,HLF0055,soep-core,zh,v29,zh1507,,,
soep-is,is_hl,v1,HLF0055,soep-core,bah,v29,bah1507,,,
soep-is,is_hl,v1,HLF0056,soep-core,zh,v29,zh1508,,,
soep-is,is_hl,v1,HLF0056,soep-core,bah,v29,bah1508,,,
soep-is,is_hl,v1,HLF0057,soep-core,zh,v29,zh16,,,
soep-is,is_hl,v1,HLF0057,soep-core,bah,v29,bah16,,,
soep-is,is_hl,v1,HLF0058,soep-core,zh,v29,zh17,,,
soep-is,is_hl,v1,HLF0058,soep-core,bah,v29,bah1701,,,
soep-is,is_hl,v1,HLF0071,soep-core,zh,v29,zh12,,,
soep-is,is_hl,v1,HLF0071,soep-core,bah,v29,bah12,,,
soep-is,is_hl,v1,HLF0073,soep-core,zh,v29,zh21,,,
soep-is,is_hl,v1,HLF0073,soep-core,bah,v29,bah21,,,
soep-is,is_hl,v1,HLF0074,soep-core,zh,v29,zh2301,,,
soep-is,is_hl,v1,HLF0074,soep-core,bah,v29,bah2301,,,
soep-is,is_hl,v1,HLF0074,soep-is,h_11,v1,ishm04,,,
soep-is,is_hl,v1,HLF0075,soep-core,zh,v29,zh2302,,,
soep-is,is_hl,v1,HLF0075,soep-core,bah,v29,bah2302,,,
soep-is,is_hl,v1,HLF0075,soep-is,h_11,v1,ishm05,,,
soep-is,is_hl,v1,HLF0076,soep-core,zh,v29,zh24,,,
soep-is,is_hl,v1,HLF0076,soep-core,bah,v29,bah24,,,
soep-is,is_hl,v1,HLF0076,soep-is,h_11,v1,ishm06,,,
soep-is,is_hl,v1,HLF0069,soep-core,zh,v29,zh25,,,
soep-is,is_hl,v1,HLF0069,soep-core,bah,v29,bah2501,,,
soep-is,is_hl,v1,HLF0077,soep-core,zh,v29,zh2601,,,
soep-is,is_hl,v1,HLF0077,soep-core,bah,v29,bah2502,,,
soep-is,is_hl,v1,HLF0080,soep-core,zh,v29,zh2602,,,
soep-is,is_hl,v1,HLF0080,soep-core,bah,v29,bah2601,,,
soep-is,is_hl,v1,HLF0080,soep-is,h_11,v1,ishm09,,,
soep-is,is_hl,v1,HLF0081,soep-core,zh,v29,zh2603,,,
soep-is,is_hl,v1,HLF0081,soep-core,bah,v29,bah2602,,,
soep-is,is_hl,v1,HLF0081,soep-is,h_11,v1,ishm10,,,
soep-is,is_hl,v1,HLF0082,soep-core,zh,v29,zh2604,,,
soep-is,is_hl,v1,HLF0082,soep-core,bah,v29,bah2603,,,
soep-is,is_hl,v1,HLF0082,soep-is,h_11,v1,ishm11,,,
soep-is,is_hl,v1,HLF0083,soep-core,zh,v29,zh27,,,
soep-is,is_hl,v1,HLF0083,soep-core,bah,v29,bah27,,,
soep-is,is_hl,v1,HLF0087,soep-core,zh,v29,zh29,,,
soep-is,is_hl,v1,HLF0087,soep-core,bah,v29,bah29,,,
soep-is,is_hl,v1,HLF0087,soep-is,h_11,v1,ishe01,,,
soep-is,is_hl,v1,HLF0088,soep-core,zh,v29,zh30,,,
soep-is,is_hl,v1,HLF0088,soep-core,bah,v29,bah30,,,
soep-is,is_hl,v1,HLF0088,soep-is,h_11,v1,ishe02,,,
soep-is,is_hl,v1,HLF0089,soep-core,zh,v29,zh31,,,
soep-is,is_hl,v1,HLF0089,soep-core,bah,v29,bah31,,,
soep-is,is_hl,v1,HLF0089,soep-is,h_11,v1,ishe03,,,
soep-is,is_hl,v1,HLF0090,soep-core,zh,v29,zh32,,,
soep-is,is_hl,v1,HLF0090,soep-core,bah,v29,bah3201,,,
soep-is,is_hl,v1,HLF0091,soep-core,zh,v29,zh33,,,
soep-is,is_hl,v1,HLF0091,soep-core,bah,v29,bah33,,,
soep-is,is_hl,v1,HLF0091,soep-is,h_11,v1,ishe05,,,
soep-is,is_hl,v1,HLF0092,soep-core,zh,v29,zh3401,,,
soep-is,is_hl,v1,HLF0092,soep-core,bah,v29,bah3401,,,
soep-is,is_hl,v1,HLF0092,soep-is,h_11,v1,ishe06,,,
soep-is,is_hl,v1,HLF0093,soep-core,zh,v29,zh3402,,,
soep-is,is_hl,v1,HLF0093,soep-core,bah,v29,bah3402,,,
soep-is,is_hl,v1,HLF0093,soep-is,h_11,v1,ishe07,,,
soep-is,is_hl,v1,HLF0094,soep-core,zh,v29,zh35,,,
soep-is,is_hl,v1,HLF0094,soep-core,bah,v29,bah35,,,
soep-is,is_hl,v1,HLF0095,soep-core,zh,v29,zh3601,,,
soep-is,is_hl,v1,HLF0095,soep-core,bah,v29,bah3601,,,
soep-is,is_hl,v1,HLF0096,soep-core,zh,v29,zh3602,,,
soep-is,is_hl,v1,HLF0096,soep-core,bah,v29,bah3602,,,
soep-is,is_hl,v1,HLC0007,soep-core,zh,v29,zh38,,,
soep-is,is_hl,v1,HLC0007,soep-core,bah,v29,bah38,,,
soep-is,is_hl,v1,HLC0007,soep-is,h_11,v1,ishverm1,,,
soep-is,is_hl,v1,HLC0008,soep-core,zh,v29,zh39,,,
soep-is,is_hl,v1,HLC0008,soep-core,bah,v29,bah39,,,
soep-is,is_hl,v1,HLC0008,soep-is,h_11,v1,ishverm2,,,
soep-is,is_hl,v1,HLC0111,soep-core,zh,v29,zh4001,,,
soep-is,is_hl,v1,HLC0111,soep-core,bah,v29,bah4001,,,
soep-is,is_hl,v1,HLC0111,soep-is,h_11,v1,ishverm3,,,
soep-is,is_hl,v1,HLC0112,soep-core,zh,v29,zh4002,,,
soep-is,is_hl,v1,HLC0112,soep-core,bah,v29,bah4002,,,
soep-is,is_hl,v1,HLC0112,soep-is,h_11,v1,ishverm4,,,
soep-is,is_hl,v1,HLC0098,soep-core,zh,v29,zh4501,,,
soep-is,is_hl,v1,HLC0098,soep-core,bah,v29,bah4501,,,
soep-is,is_hl,v1,HLC0105,soep-core,zh,v29,zh4502,,,
soep-is,is_hl,v1,HLC0105,soep-core,bah,v29,bah4502,,,
soep-is,is_hl,v1,HLC0106,soep-core,zh,v29,zh4503,,,
soep-is,is_hl,v1,HLC0106,soep-core,bah,v29,bah4503,,,
soep-is,is_hl,v1,HLC0107,soep-core,zh,v29,zh4504,,,
soep-is,is_hl,v1,HLC0107,soep-core,bah,v29,bah4504,,,
soep-is,is_hl,v1,HLC0104,soep-core,zh,v29,zh4506,,,
soep-is,is_hl,v1,HLC0104,soep-core,bah,v29,bah4506,,,
soep-is,is_hl,v1,HLC0093,soep-core,zh,v29,zh4507,,,
soep-is,is_hl,v1,HLC0093,soep-core,bah,v29,bah4507,,,
soep-is,is_hl,v1,HLC0013,soep-core,zh,v29,zh4601,,,
soep-is,is_hl,v1,HLC0013,soep-core,bah,v29,bah4601,,,
soep-is,is_hl,v1,HLC0013,soep-is,h_11,v1,ishzins1,,,
soep-is,is_hl,v1,HLC0014,soep-core,zh,v29,zh4602,,,
soep-is,is_hl,v1,HLC0014,soep-core,bah,v29,bah4602,,,
soep-is,is_hl,v1,HLC0014,soep-is,h_11,v1,ishzins2,,,
soep-is,is_hl,v1,HLC0080,soep-core,zh,v29,zh4910,,,
soep-is,is_hl,v1,HLC0080,soep-core,bah,v29,bah4919,,,
soep-is,is_hl,v1,HLC0081,soep-core,zh,v29,zh4911,,,
soep-is,is_hl,v1,HLC0081,soep-core,bah,v29,bah4920,,,
soep-is,is_hl,v1,HLC0082,soep-core,zh,v29,zh4912,,,
soep-is,is_hl,v1,HLC0082,soep-core,bah,v29,bah4921,,,
soep-is,is_hl,v1,HLC0039,soep-core,zh,v29,zh4901,,,
soep-is,is_hl,v1,HLC0039,soep-core,bah,v29,bah4901,,,
soep-is,is_hl,v1,HLC0042,soep-core,zh,v29,zh4903,,,
soep-is,is_hl,v1,HLC0042,soep-core,bah,v29,bah4903,,,
soep-is,is_hl,v1,HLC0048,soep-core,zh,v29,zh4916,,,
soep-is,is_hl,v1,HLC0055,soep-core,zh,v29,zh5001,,,
soep-is,is_hl,v1,HLC0055,soep-core,bah,v29,bah4913,,,
soep-is,is_hl,v1,HLC0057,soep-core,zh,v29,zh5002,,,
soep-is,is_hl,v1,HLC0057,soep-core,bah,v29,bah4914,,,
soep-is,is_hl,v1,HLC0056,soep-core,zh,v29,zh5007,,,
soep-is,is_hl,v1,HLC0058,soep-core,zh,v29,zh5008,,,
soep-is,is_hl,v1,HLC0066,soep-core,zh,v29,zh5010,,,
soep-is,is_hl,v1,HLC0083,soep-core,zh,v29,zh5108,,,
soep-is,is_hl,v1,HLC0083,soep-core,bah,v29,bah5014,,,
soep-is,is_hl,v1,HLC0083,soep-is,h_11,v1,ishdwg1,,,
soep-is,is_hl,v1,HLC0084,soep-core,zh,v29,zh5109,,,
soep-is,is_hl,v1,HLC0084,soep-core,bah,v29,bah5015,,,
soep-is,is_hl,v1,HLC0084,soep-is,h_11,v1,ishdwg2,,,
soep-is,is_hl,v1,HLC0043,soep-core,zh,v29,zh5103,,,
soep-is,is_hl,v1,HLC0043,soep-core,bah,v29,bah5003,,,
soep-is,is_hl,v1,HLC0043,soep-is,h_11,v1,ishdkg3,,,
soep-is,is_hl,v1,HLC0044,soep-core,zh,v29,zh5101,,,
soep-is,is_hl,v1,HLC0044,soep-core,bah,v29,bah5001,,,
soep-is,is_hl,v1,HLC0044,soep-is,h_11,v1,ishdkg1,,,
soep-is,is_hl,v1,HLC0045,soep-core,zh,v29,zh5102,,,
soep-is,is_hl,v1,HLC0045,soep-core,bah,v29,bah5002,,,
soep-is,is_hl,v1,HLC0045,soep-is,h_11,v1,ishdkg2,,,
soep-is,is_hl,v1,HLC0067,soep-core,zh,v29,zh5114,,,
soep-is,is_hl,v1,HLC0067,soep-core,bah,v29,bah5010,,,
soep-is,is_hl,v1,HLC0067,soep-is,h_11,v1,ishdsh1,,,
soep-is,is_hl,v1,HLC0068,soep-core,zh,v29,zh5115,,,
soep-is,is_hl,v1,HLC0068,soep-core,bah,v29,bah5011,,,
soep-is,is_hl,v1,HLC0068,soep-is,h_11,v1,ishdsh2,,,
soep-is,is_hl,v1,HLC0085,soep-core,zh,v29,zh5110,,,
soep-is,is_hl,v1,HLC0085,soep-core,bah,v29,bah5008,,,
soep-is,is_hl,v1,HLC0085,soep-is,h_11,v1,ishdpg1,,,
soep-is,is_hl,v1,HLC0090,soep-core,zh,v29,zh5111,,,
soep-is,is_hl,v1,HLC0090,soep-core,bah,v29,bah5009,,,
soep-is,is_hl,v1,HLC0090,soep-is,h_11,v1,ishdpg2,,,
soep-is,is_hl,v1,HLC0038,soep-core,zh,v29,zh5116,,,
soep-is,is_hl,v1,HLC0005,soep-core,zh,v29,zh5201,,,
soep-is,is_hl,v1,HLC0005,soep-core,bah,v29,bah5201,,,
soep-is,is_hl,v1,HLC0005,soep-is,h_11,v1,ishnetto,,,
soep-is,is_hl,v1,HLC0006,soep-core,zh,v29,zh5202,,,
soep-is,is_hl,v1,HLC0006,soep-core,bah,v29,bah5202,,,
soep-is,is_hl,v1,HLC0006,soep-is,h_11,v1,isznetto,,,
soep-is,is_hl,v1,HLC0113,soep-core,zh,v29,zh42,,,
soep-is,is_hl,v1,HLC0113,soep-core,bah,v29,bah42,,,
soep-is,is_hl,v1,HLC0113,soep-is,h_11,v1,ishkred1,,,
soep-is,is_hl,v1,HLC0114,soep-core,zh,v29,zh43,,,
soep-is,is_hl,v1,HLC0114,soep-core,bah,v29,bah43,,,
soep-is,is_hl,v1,HLC0114,soep-is,h_11,v1,ishkred2,,,
soep-is,is_hl,v1,HLC0119,soep-core,zh,v29,zh5301,,,
soep-is,is_hl,v1,HLC0119,soep-core,bah,v29,bah5401,,,
soep-is,is_hl,v1,HLC0119,soep-is,h_11,v1,ishspar1,,,
soep-is,is_hl,v1,HLC0120,soep-core,zh,v29,zh5302,,,
soep-is,is_hl,v1,HLC0120,soep-core,bah,v29,bah5402,,,
soep-is,is_hl,v1,HLC0120,soep-is,h_11,v1,ishspar2,,,
soep-is,is_hl,v1,HLK0044,soep-core,zh,v29,zh68,,,
soep-is,is_hl,v1,HLK0044,soep-core,bah,v29,bah63,,,
soep-is,is_hl,v1,HLK0044,soep-is,h_11,v1,ishkind,,,
soep-is,is_hl,v1,HLF0291,soep-core,zh,v29,zh62,,,
soep-is,is_hl,v1,HLF0291,soep-core,bah,v29,bah56,,,
soep-is,is_hl,v1,HLF0291,soep-is,h_11,v1,ishpfleg,,,
soep-is,is_hl,v1,HLF0292,soep-core,zh,v29,zh6301,,,
soep-is,is_hl,v1,HLF0292,soep-core,bah,v29,bah5701,,,
soep-is,is_hl,v1,HLF0300,soep-core,zh,v29,zh6302,,,
soep-is,is_hl,v1,HLF0300,soep-core,bah,v29,bah5702,,,
soep-is,is_hl,v1,HLF0301,soep-core,zh,v29,zh6303,,,
soep-is,is_hl,v1,HLF0301,soep-core,bah,v29,bah5703,,,
soep-is,is_hl,v1,HLF0302,soep-core,zh,v29,zh6304,,,
soep-is,is_hl,v1,HLF0302,soep-core,bah,v29,bah5704,,,
soep-is,is_hl,v1,HLF0303,soep-core,zh,v29,zh6305,,,
soep-is,is_hl,v1,HLF0303,soep-core,bah,v29,bah5705,,,
soep-is,is_hl,v1,HLF0309,soep-core,zh,v29,zh6503,,,
soep-is,is_hl,v1,HLF0309,soep-core,bah,v29,bah5903,,,
soep-is,is_hl,v1,HLF0320,soep-core,zh,v29,zh6504,,,
soep-is,is_hl,v1,HLF0320,soep-core,bah,v29,bah5904,,,
soep-is,is_hl,v1,HLF0311,soep-core,zh,v29,zh6505,,,
soep-is,is_hl,v1,HLF0311,soep-core,bah,v29,bah5905,,,
soep-is,is_hl,v1,HLF0313,soep-core,zh,v29,zh6506,,,
soep-is,is_hl,v1,HLF0313,soep-core,bah,v29,bah5906,,,
soep-is,is_hl,v1,HLF0315,soep-core,zh,v29,zh6507,,,
soep-is,is_hl,v1,HLF0315,soep-core,bah,v29,bah5907,,,
soep-is,is_hl,v1,HLF0317,soep-core,zh,v29,zh6501,,,
soep-is,is_hl,v1,HLF0317,soep-core,bah,v29,bah5901,,,
soep-is,is_hl,v1,HLF0319,soep-core,zh,v29,zh6502,,,
soep-is,is_hl,v1,HLF0319,soep-core,bah,v29,bah5902,,,
soep-is,is_hl,v1,HLF0261,soep-core,zh,v29,zh67,,,
soep-is,is_hl,v1,HLF0261,soep-core,bah,v29,bah6201,,,
soep-is,is_hl,v1,HLF0135,soep-core,zh,v29,zh54,,,
soep-is,is_hl,v1,HLF0136,soep-core,zh,v29,zh5501,,,
soep-is,is_hl,v1,HLF0137,soep-core,zh,v29,zh5502,,,
soep-is,is_hl,v1,HLF0138,soep-core,zh,v29,zh5503,,,
soep-is,is_hl,v1,HLF0139,soep-core,zh,v29,zh5504,,,
soep-is,is_hl,v1,HLF0140,soep-core,zh,v29,zh5505,,,
soep-is,is_hl,v1,HLF0141,soep-core,zh,v29,zh5506,,,
soep-is,is_hl,v1,HLF0143,soep-core,zh,v29,zh5508,,,
soep-is,is_hl,v1,HLF0144,soep-core,zh,v29,zh5509,,,
soep-is,is_hl,v1,HLF0145,soep-core,zh,v29,zh5510,,,
soep-is,is_hl,v1,HLF0146,soep-core,zh,v29,zh5511,,,
soep-is,is_hl,v1,HLF0147,soep-core,zh,v29,zh5512,,,
soep-is,is_hl,v1,HLF0148,soep-core,zh,v29,zh5601,,,
soep-is,is_hl,v1,HLF0149,soep-core,zh,v29,zh5602,,,
soep-is,is_hl,v1,HLF0150,soep-core,zh,v29,zh5603,,,
soep-is,is_hl,v1,HLF0152,soep-core,zh,v29,zh58,,,
soep-is,is_hl,v1,HLJ0004,soep-core,zh,v29,zh59,,,
soep-is,is_hl,v1,HLD0001,soep-core,zh,v29,zh60,,,
soep-is,is_hl,v1,HLD0002,soep-core,zh,v29,zh6101,,,
soep-is,is_hl,v1,HLD0003,soep-core,zh,v29,zh6102,,,
soep-is,is_hl,v1,HLK0059,soep-core,zh,v29,zhhtagin,,,
soep-is,is_hl,v1,HLK0059,soep-core,bah,v29,bahhtagin,,,
